,symbol,close,chg,volume,amplitude,tag
0,DWACU,49.08,382.6,11112039,430.08849557522126,振幅剧烈
1,EAR,10.21,34.87,12225200,41.74372523117571,振幅剧烈
2,SGAM,12.8,32.92,5382432,51.71339563862929,振幅剧烈
3,HUDI,14.19,19.85,2754039,32.432432432432435,振幅剧烈
4,PHUN,1.53,45.71,84014251,84.76190476190474,振幅剧烈
5,DUO,1.35,28.57,33931655,28.571428571428573,振幅剧烈
6,SALM,3.71,12.42,24436275,38.48484848484848,振幅剧烈
7,PBTS,1.2,16.5,24269381,21.35922330097087,振幅剧烈
8,CNTX,6.17,20.98,14540620,41.96078431372549,振幅剧烈
9,JRJC,9.13,20.93,26594336,35.761589403973524,振幅剧烈
10,SHIPW,0.04,1.61,177922,25.000000000000004,振幅剧烈
11,OXBRW,0.2,7.51,33822,21.052631578947373,振幅剧烈
12,CPAAW,1.01,23.82,5797,32.92682926829267,振幅剧烈
