,symbol,close,chg,volume,amplitude,tag
0,WBX,16.31,46.94,29829341,115.67567567567568,振幅剧烈
1,PERI,29.08,31.35,6992250,24.796747967479668,振幅剧烈
2,LIDR,5.5,23.6,74439674,88.53932584269661,振幅剧烈
3,RDBX,15.84,33.11,18477873,124.78991596638654,振幅剧烈
4,PROG,3.99,18.05,251584259,30.769230769230756,振幅剧烈
5,BRPM,11.45,2.32,43863391,40.48257372654155,振幅剧烈
6,WTRH,2.05,43.36,69696581,62.93706293706293,振幅剧烈
7,EQOS,5.37,24.31,29816749,31.944444444444443,振幅剧烈
8,ITRM,0.74,40.26,43432313,41.50943396226414,振幅剧烈
9,TRKA,2.75,50.27,18965232,89.07103825136612,振幅剧烈
10,EJH,3.11,4.01,20055352,26.75585284280937,振幅剧烈
11,BIMI,2.21,225.0,209974327,300.0,振幅剧烈
12,MKD,0.41,20.89,39890407,23.529411764705888,振幅剧烈
13,IINN,9.59,308.09,171478319,311.48936170212767,振幅剧烈
14,CCNC,1.72,25.55,15109152,32.116788321167874,振幅剧烈
15,NEW,0.59,4.98,20516221,30.35714285714284,振幅剧烈
16,SQL,3.92,12.0,4638958,42.28571428571427,振幅剧烈
17,MOHO,0.74,11.35,13557319,27.272727272727277,振幅剧烈
18,CJJD,0.8,19.4,16500951,49.25373134328357,振幅剧烈
19,MYSZ,1.58,36.21,271561648,154.31034482758625,振幅剧烈
20,SXTC,1.19,16.8,8524818,39.2156862745098,振幅剧烈
21,MCMJW,1.4,19.15,330946,29.66101694915255,振幅剧烈
22,OXBRW,0.21,5.85,109549,24.999999999999993,振幅剧烈
23,CPAAW,1.03,14.71,40614,22.22222222222223,振幅剧烈
