symbol,open_alias,close,high,low,preclose,change,chg,volume,amplitude,mktcap,market
DNA,10.72,11.22,11.65,10.59,10.59,0.63,5.95,20946778,10.01%,21961905518,NYSE
DOCS,87.0,80.22,91.25,79.68,86.15,-5.93,-6.88,3749152,13.43%,14894635502,NYSE
OTLY,13.74,14.73,14.95,13.45,13.5,1.23,9.11,7725763,11.11%,8716874939,NASDAQ
DUOL,143.97,156.86,160.86,143.97,141.45,15.41,10.89,270932,11.94%,5869445070,NASDAQ
TASK,65.2,57.81,66.81,57.09,62.49,-4.68,-7.49,1231074,15.55%,5624345150,NASDAQ
MTTR,18.56,19.77,20.52,18.45,18.26,1.51,8.27,6034948,11.34%,4783490159,NASDAQ
IFS,22.48,24.18,24.74,22.42,22.04,2.14,9.71,154501,10.53%,2790810443,NYSE
FORG,31.29,33.8,34.29,31.0,30.84,2.96,9.6,646782,10.67%,2683020955,NYSE
YSG,3.74,4.1,4.23,3.72,3.64,0.46,12.64,6629635,14.01%,2589615060,NYSE
ALXO,69.28,63.99,71.48,62.35,68.57,-4.58,-6.68,291536,13.31%,2581535840,NASDAQ
ARRY,17.33,18.17,19.0,17.21,17.05,1.12,6.57,2368112,10.50%,2436469766,NASDAQ
RLAY,29.68,26.0,30.5,25.77,29.5,-3.5,-11.86,1399740,16.03%,2410072990,NASDAQ
CIFR,9.98,8.91,10.15,8.78,9.86,-0.95,-9.63,468951,13.89%,2201292258,NASDAQ
ARQQ,19.57,18.86,21.9,18.78,18.5,0.36,1.95,881420,16.86%,2075984957,NASDAQ
CDXS,28.44,30.58,30.67,27.8,28.11,2.47,8.79,1266154,10.21%,1976713641,NASDAQ
SMFR,7.32,7.88,8.05,7.29,7.27,0.61,8.39,10608471,10.45%,1892700395,NASDAQ
VVNT,8.42,9.02,9.1,8.23,8.27,0.75,9.07,649825,10.40%,1882582877,NYSE
NOG,23.18,24.62,24.95,22.61,22.57,2.05,9.08,1334025,10.39%,1629157059,NYSE
HLTH,10.13,10.8,11.29,10.05,10.03,0.77,7.68,1202478,12.36%,1552679124,NYSE
LPI,86.0,92.04,92.69,83.46,85.44,6.6,7.72,862257,10.80%,1482727599,NYSE
IONQ,7.39,7.63,7.86,7.1,7.25,0.38,5.24,2684109,10.48%,1468663723,NYSE
PRTC,49.58,50.5,54.25,47.5,48.0,2.5,5.21,31857,14.06%,1447087600,NASDAQ
CCXI,18.61,19.6,21.31,17.14,18.59,1.01,5.43,6174183,22.43%,1370108725,NASDAQ
ENTA,61.64,67.69,68.67,61.5,61.2,6.49,10.6,386645,11.72%,1368343246,NASDAQ
CNTA,15.16,14.3,16.0,14.24,14.85,-0.55,-3.7,143202,11.85%,1285561709,NASDAQ
IDT,45.5,49.73,50.3,45.45,44.39,5.34,12.03,495900,10.93%,1281103967,NYSE
FXLV,15.46,14.05,15.58,14.0,15.43,-1.38,-8.94,267154,10.24%,1272292021,NYSE
TGLS,23.9,26.2,26.3,23.88,23.52,2.68,11.39,905972,10.31%,1249079089,NASDAQ
JYNT,97.97,85.53,100.35,75.2,96.42,-10.89,-11.29,1559139,26.08%,1229586447,NASDAQ
NEXA,8.7,8.99,9.61,8.67,8.58,0.41,4.78,340729,10.96%,1190623083,NYSE
HUMA,10.41,10.72,11.48,10.21,10.36,0.36,3.47,227260,12.26%,1104196304,NASDAQ
DOYU,3.16,3.38,3.43,3.12,3.06,0.32,10.46,3595713,10.13%,1096505127,NASDAQ
MRUS,29.15,27.49,29.77,24.78,20.0,7.49,37.45,16228014,24.95%,1057754686,NASDAQ
HPK,10.75,11.14,11.45,10.39,10.51,0.63,5.99,47873,10.07%,1033164828,NASDAQ
