,symbol,close,chg,volume,amplitude,tag
0,PPSI,10.4,220.0,307436048.0,211.38461538461536,振幅剧烈
1,EVGOW,4.35,80.5,3227965.0,75.10373443983401,振幅剧烈
2,NEGG,18.82,58.95,24785973.0,67.98986486486487,振幅剧烈
3,PETZ,6.09,56.96,30147674.0,106.95876288659795,振幅剧烈
4,VTAQW,0.45,55.17,231947.0,55.172413793103466,振幅剧烈
5,CBAT,3.2,48.84,50422699.0,63.25581395348838,振幅剧烈
6,UPH_WS,0.45,45.16,694809.0,58.064516129032256,振幅剧烈
7,VINO,4.52,43.04,36452460.0,55.69620253164556,振幅剧烈
8,ACQRW,1.17,23.16,283074.0,47.368421052631575,振幅剧烈
9,ARBEW,2.1,22.09,1593977.0,107.55813953488372,振幅剧烈
10,VTAQR,0.26,18.18,317923.0,59.09090909090909,振幅剧烈
11,KIND,13.01,17.0,16776173.0,63.57913669064749,振幅剧烈
12,ARBE,11.95,6.7,4454784.0,49.73214285714286,振幅剧烈
