,symbol,close,chg,volume,amplitude,tag
0,SBEAW,2.62,109.6,22903704.0,311.2,振幅剧烈
1,CAR,357.17,108.31,30496237.0,217.02437886387494,振幅剧烈
2,OLB,8.6,87.36,222044674.0,136.8191721132898,振幅剧烈
3,SLGCW,5.64,47.64,76264.0,43.1937172774869,振幅剧烈
4,PHUNW,2.91,46.97,974426.0,102.52525252525254,振幅剧烈
5,SABSW,1.75,44.63,929987.0,66.11570247933885,振幅剧烈
6,XELB,1.95,38.3,29014224.0,59.574468085106396,振幅剧烈
7,GMBLW,5.29,32.25,27348.0,53.25,振幅剧烈
8,HUDI,24.31,29.79,1677275.0,45.75547250400425,振幅剧烈
9,SAVA,58.07,25.94,28326824.0,54.3699848189113,振幅剧烈
10,SRSAW,1.42,22.41,530.0,48.27586206896553,振幅剧烈
11,BAOS,1.9,21.02,46886668.0,50.318471337579616,振幅剧烈
12,TPOR,58.82,20.51,829793.0,43.39274738783034,振幅剧烈
13,SBEAU,12.2,19.73,2474827.0,57.70363101079491,振幅剧烈
14,PHUN,4.57,19.32,98437099.0,51.95822454308093,振幅剧烈
15,SBEA,11.33,15.38,99715410.0,48.37067209775967,振幅剧烈
16,CBL,30.0,14.29,209581.0,65.71428571428571,振幅剧烈
17,HYRE,7.54,6.5,11904968.0,40.2542372881356,振幅剧烈
18,TPBAW,0.85,4.94,65033.0,49.38271604938273,振幅剧烈
19,BBLGW,1.26,3.28,324105.0,54.918032786885256,振幅剧烈
20,TPBA,9.73,0.31,71806.0,60.00000000000001,振幅剧烈
