,symbol,close,chg,volume,amplitude,tag
0,DWAC,64.89,9.85,47118831,35.94040968342644,振幅剧烈
1,BKKT,29.4,23.63,57302611,42.59882253994953,振幅剧烈
2,IRNT,16.34,58.64,75952781,63.98058252427184,振幅剧烈
3,PHUN,4.78,9.89,172572195,26.206896551724153,振幅剧烈
4,FAMI,0.36,1.69,331753324,25.714285714285722,振幅剧烈
5,CXDC,0.93,58.97,188918046,151.7241379310345,振幅剧烈
6,NEW,0.75,26.81,64109138,93.22033898305084,振幅剧烈
7,CRTD,4.22,3.43,9149052,21.81372549019607,振幅剧烈
8,KAVL,1.84,21.05,97314541,82.23684210526315,振幅剧烈
9,AGRI,3.17,46.76,269003991,231.0185185185185,振幅剧烈
10,KTTA,2.96,9.23,8803798,48.33948339483395,振幅剧烈
11,GHSI,1.5,27.12,86301103,60.16949152542373,振幅剧烈
12,BHAT,0.68,7.94,21206095,42.857142857142854,振幅剧烈
13,GMVD,2.25,6.13,7453369,51.415094339622634,振幅剧烈
14,MITQ,2.89,9.06,8553952,32.83018867924529,振幅剧烈
15,CETX,1.32,24.53,74687202,59.43396226415093,振幅剧烈
16,RETO,0.95,4.83,10658830,40.65934065934066,振幅剧烈
17,SYTA,5.3,83.39,146622024,237.0242214532872,振幅剧烈
18,KERNW,0.56,7.67,53617,26.923076923076902,振幅剧烈
