,symbol,close,chg,volume,amplitude,tag
0,CEI,1.81,7.1,266931194,21.301775147928986,振幅剧烈
1,HX,18.87,98.42,58662333,114.82649842271292,振幅剧烈
2,SESN,1.27,25.74,207359627,31.68316831683169,振幅剧烈
3,CNEY,7.99,4.31,6079352,30.809399477806792,振幅剧烈
4,TRKA,1.79,11.18,32505527,30.43478260869565,振幅剧烈
5,BON,7.34,7.0,1947062,44.023323615160336,振幅剧烈
6,FWBI,2.95,4.98,19971924,25.97864768683274,振幅剧烈
7,PHCF,2.49,22.66,11847901,61.083743842364555,振幅剧烈
8,JRJC,7.55,20.22,7259024,42.03821656050956,振幅剧烈
