,symbol,close,chg,volume,amplitude,tag
0,DWAC,64.89,9.85,47453721,35.94040968342644,振幅剧烈
1,BKKT,29.4,23.63,57515486,42.59882253994953,振幅剧烈
2,IRNT,16.34,58.64,78326784,63.98058252427184,振幅剧烈
3,PHUN,4.78,9.89,173307708,26.206896551724153,振幅剧烈
4,FAMI,0.36,1.69,334271947,25.714285714285722,振幅剧烈
5,MRAI,4.75,18.75,10343049,33.750000000000014,振幅剧烈
6,CXDC,0.93,58.97,189534459,151.7241379310345,振幅剧烈
7,NEW,0.75,26.81,64288477,93.22033898305084,振幅剧烈
8,CRTD,4.22,3.43,9245839,21.81372549019607,振幅剧烈
9,KAVL,1.84,21.05,97432109,82.23684210526315,振幅剧烈
10,AGRI,3.17,46.76,269267717,231.0185185185185,振幅剧烈
11,GHSI,1.5,27.12,86432663,60.16949152542373,振幅剧烈
12,BHAT,0.68,7.94,21309784,42.857142857142854,振幅剧烈
13,GMVD,2.25,6.13,7453677,51.415094339622634,振幅剧烈
14,MITQ,2.89,9.06,8571034,32.83018867924529,振幅剧烈
15,CETX,1.32,24.53,75222720,59.43396226415093,振幅剧烈
16,RETO,0.95,4.83,10689713,40.65934065934066,振幅剧烈
17,SYTA,5.3,83.39,147002378,237.0242214532872,振幅剧烈
18,KERNW,0.56,7.67,53617,26.923076923076902,振幅剧烈
