symbol,open_alias,close,high,low,preclose,change,chg,volume,amplitude,mktcap,market
DISCB,45.15,45.57,47.73,42.78,44.99,0.58,1.29,23911,11.00%,23046827293,NASDAQ
OTLY,15.76,14.6,16.13,14.58,14.73,-0.13,-0.88,6684713,10.52%,8639944426,NASDAQ
BHG,7.92,7.19,8.03,7.17,7.91,-0.72,-9.1,2241010,10.87%,4531302105,NYSE
ADGI,31.42,34.32,36.0,30.92,31.4,2.92,9.3,376626,16.18%,3818156937,NASDAQ
CLOV,7.41,7.85,8.08,7.32,7.4,0.45,6.08,30134370,10.27%,3358504741,NASDAQ
EVCM,18.27,17.05,18.43,16.26,18.12,-1.07,-5.91,515269,11.95%,3330492888,NASDAQ
RXRX,20.03,18.68,20.38,18.11,20.0,-1.32,-6.6,560578,11.35%,3147270599,NASDAQ
LILM,9.25,10.2,10.25,9.07,8.97,1.23,13.71,1591709,13.18%,2897922548,NASDAQ
EXAI,22.5,24.05,24.79,22.5,22.4,1.65,7.37,138764,10.20%,2845358464,NASDAQ
KYMR,61.87,55.6,62.15,55.09,61.7,-6.1,-9.89,444632,11.45%,2837813747,NASDAQ
CCXI,36.98,38.41,40.9,29.07,19.6,18.81,95.97,144835607,60.36%,2684993616,NASDAQ
RLAY,26.5,28.16,34.0,25.72,26.0,2.16,8.31,3713784,31.85%,2610294424,NASDAQ
NUVB,9.89,9.11,9.9,8.86,9.71,-0.6,-6.18,349385,10.71%,1983785162,NYSE
CANO,12.19,11.26,12.2,10.87,12.15,-0.89,-7.33,5158817,10.95%,1962798132,NYSE
CIFR,9.07,7.89,9.07,7.69,8.91,-1.02,-11.45,908753,15.49%,1949292471,NASDAQ
HUT,10.05,10.43,10.63,9.63,9.82,0.61,6.21,9186447,10.18%,1711173250,NASDAQ
ZETA,8.0,8.58,8.62,7.7,7.99,0.59,7.38,1222654,11.51%,1665144961,NYSE
HLTH,11.17,10.89,12.03,10.62,10.8,0.09,0.83,1294818,13.06%,1565618138,NYSE
SNDL,0.74,0.68,0.74,0.67,0.65,0.03,5.0,219136474,11.37%,1401624029,NASDAQ
NEXA,9.2,9.83,10.15,9.2,8.99,0.84,9.34,344988,10.57%,1301871536,NYSE
TNGX,13.7,14.11,14.96,13.54,13.67,0.44,3.22,84706,10.35%,1234262357,NASDAQ
TGLS,26.5,24.46,27.0,24.32,26.2,-1.74,-6.64,485349,10.22%,1166124904,NASDAQ
JYNT,85.79,80.1,87.03,78.35,85.53,-5.43,-6.35,600653,10.15%,1151524306,NASDAQ
