,symbol,close,chg,volume,amplitude,tag
0,BKKT,42.52,66.09,76364857,67.4609375,振幅剧烈
1,GREE,27.19,33.81,27716387,42.56889763779529,振幅剧烈
2,WIMI,4.92,12.84,87067432,21.10091743119266,振幅剧烈
3,ARAY,4.99,10.4,25448053,28.53982300884956,振幅剧烈
4,EQOS,6.85,47.31,26002809,55.91397849462364,振幅剧烈
5,MARK,2.11,14.05,73686802,35.13513513513512,振幅剧烈
6,UAVS,2.87,8.3,59878144,24.52830188679245,振幅剧烈
7,GLG,0.71,8.72,20068867,24.61538461538462,振幅剧烈
8,GFAI,3.05,26.03,110861316,69.83471074380166,振幅剧烈
9,KAVL,1.87,6.25,6260082,21.022727272727266,振幅剧烈
10,DBGI,4.15,9.21,5477960,22.63157894736843,振幅剧烈
11,AGRI,3.05,0.33,5413038,24.342105263157904,振幅剧烈
12,GMVD,2.45,6.99,15510493,36.68122270742357,振幅剧烈
13,NXTD,3.7,24.58,13580170,37.71043771043771,振幅剧烈
14,MCMJW,2.13,17.68,822125,44.1988950276243,振幅剧烈
15,BCDAW,1.4,8.52,350,34.88372093023257,振幅剧烈
