,symbol,open_alias,close,high,low,preclose,change,chg,volume,amplitude,mktcap,market,tag,macdp,macdn
4492,RRD,6.21,6.57,7.05,6.13,4.93,1.64,33.27,32697022.0,18.66%,478296012.0,NASDAQ,策略1,,
4507,TIPT,13.03,14.22,14.38,12.81,10.75,3.47,32.28,4100257.0,14.64%,475047279.0,NASDAQ,策略1,,
5351,PROG,2.1,2.22,2.7,1.94,2.14,0.08,3.74,346180582.0,35.51%,319766624.0,NASDAQ,策略1,,
5788,DATS,12.25,15.01,15.09,12.06,12.6,2.41,19.13,51911800.0,24.05%,258915134.0,NASDAQ,策略1,,
6357,SUNW,6.02,6.65,6.75,6.02,5.97,0.68,11.39,2847430.0,12.28%,179867500.0,NASDAQ,策略1,,
6402,KOSS,15.61,19.18,19.18,15.13,15.35,3.83,24.95,2790049.0,26.38%,174762601.0,NASDAQ,策略1,,
6626,SOFIW,7.37,7.53,7.65,6.85,7.18,0.35,4.87,2407317.0,11.14%,151541254.0,NASDAQ,策略1,,
6865,WWR,3.85,3.81,4.19,3.61,3.49,0.32,9.17,5797265.0,16.62%,131963543.0,NASDAQ,策略1,,
6934,BCTX,7.12,8.23,8.38,7.11,7.1,1.13,15.92,2568294.0,17.87%,125668801.0,NASDAQ,策略1,,
7147,FAMI,0.34,0.36,0.39,0.34,0.34,0.02,7.29,237898260.0,14.88%,101901061.0,NASDAQ,策略1,,
7252,TKAT,7.1,7.56,7.75,6.91,7.07,0.49,6.93,2019288.0,11.88%,93735479.0,AMEX,策略1,,
7390,TARA,7.77,7.55,7.95,7.11,6.75,0.8,11.85,11288580.0,12.44%,84829771.0,NASDAQ,策略1,,
7566,NTRB,10.74,9.7,12.32,9.1,7.4,2.3,31.08,69561193.0,43.51%,71899279.0,NASDAQ,策略1,,
8086,JUPW,1.71,1.87,1.93,1.7,1.65,0.22,13.33,2563687.0,13.94%,42874360.0,NASDAQ,策略1,,
8087,APDN,4.79,5.72,5.82,4.67,4.75,0.97,20.42,2181409.0,24.21%,42820605.0,NASDAQ,策略1,,
8112,OLB,4.49,4.78,5.15,4.31,4.48,0.3,6.7,1983617.0,18.75%,41550066.0,NASDAQ,策略1,,
8117,ZIVO,3.74,4.48,4.48,3.63,3.78,0.7,18.52,1303225.0,22.49%,41300148.0,NASDAQ,策略1,,
8118,KTRA,0.87,0.96,0.99,0.85,0.83,0.12,14.52,6912953.0,16.61%,41275301.0,NASDAQ,策略1,,
8196,SNTG,2.18,2.59,2.63,2.16,2.18,0.41,18.81,1863517.0,21.76%,36259999.0,NASDAQ,策略1,,
8416,PETV,2.77,2.96,3.25,2.77,2.56,0.4,15.63,3918410.0,18.75%,28557225.0,NASDAQ,策略1,,
8567,RMED,3.32,3.34,3.46,3.1,3.34,0.0,0.0,814568.0,10.78%,23478322.0,NYSE,策略1,,
8742,TTNP,1.62,1.79,2.03,1.62,1.62,0.17,10.49,2440482.0,25.60%,17656685.0,NASDAQ,策略1,,
9119,URNM,78.33,88.1,88.77,77.81,77.61,10.49,13.52,1184401.0,14.12%,8988138.0,AMEX,策略1,,
9801,OXBRW,0.17,0.19,0.2,0.17,0.17,0.01,7.39,66750.0,15.86%,3135.0,NASDAQ,策略1,,
361,HUBS,692.57,758.27,814.9,685.93,682.72,75.55,11.07,1980251.0,18.89%,35642754487.0,NYSE,策略2,,
598,DNA,9.68,10.83,11.27,9.64,9.47,1.36,14.36,16754075.0,17.21%,21198522916.0,NYSE,策略2,,
719,DLO,50.54,53.64,54.79,49.66,50.52,3.12,6.18,1798227.0,10.15%,15712001456.0,NASDAQ,策略2,,
849,PAGS,34.04,36.96,37.09,33.6,32.37,4.59,14.18,9924384.0,10.79%,12160038359.0,NYSE,策略2,,
993,CCJ,21.63,24.49,24.54,21.47,21.53,2.96,13.75,15630459.0,14.24%,9740971222.0,NYSE,策略2,,
1832,VTEX,17.27,17.25,17.7,16.0,16.9,0.35,2.07,357612.0,10.06%,3280207940.0,NYSE,策略2,,
