data_id,al_text,sell_cnt,unit_price,lanlong,age,total_cnt
5011000004706,西仓桥街159号,0,,"[121.4956085,31.22601036]",1950年 ,2户
509821540058052,梦花街194号,0,,"[121.49322773991,31.223967346444]",暂无信息 ,2户
509821540319283,复兴中路490号,0,,"[121.47882534331,31.221519706964]",1970-1994年 ,2户
5012970523374370,延安中路527号,0,105030,"[121.46679478587,31.229742338797]",1977年 ,64户
5020036796775226,贵州路82号,0,,"[121.481984,31.242519]",暂无信息 ,2户
5011000002423,复兴中路476号,0,,"[121.4794323,31.22159027]",暂无信息 ,2户
5011000004674,斜土支路5号,0,,"[121.4907041,31.21176759]",1974年 ,25户
5011000004469,重庆南路157弄,0,,"[121.4781171,31.22348737]",暂无信息 ,6户
5011000004733,新永安路4号,0,,"[121.5000796,31.23648443]",暂无信息 ,91户
5012970475926016,南昌路62号,0,,"[121.47654665754,31.225493536944]",1950年 ,3户
5020037458539161,建国东路146号,0,,"[121.484856,31.218894]",暂无信息 ,1户
5020037552876579,复兴中路488号,0,,"[121.478723,31.22165]",暂无信息 ,1户
5014012568079405,香山路32号,0,,"[121.47155,31.221988]",暂无信息 ,1户
5011000008177,茂名南路136号,0,120265,"[121.4684857,31.22118241]",1984年 ,30户
5020038036265714,新闸路38号,0,,"[121.478884,31.244113]",暂无信息 ,1户
5011000009532,建国西路70号,0,,"[121.4720071,31.21410451]",暂无信息 ,1户
5011000009919,复兴中路577号,0,,"[121.4724228,31.2209264]",1935年 ,2户
5020040452949089,尚文路150号,0,,"[121.497846,31.221107]",暂无信息 ,1户
5012969805362125,浙江中路475号,0,,"[121.48363192188,31.24317246514]",暂无信息 ,2户
5011000014336,钟和公寓,1,195286,"[121.468258,31.221882]",1947-1977年 ,65户
5020038195797296,江西中路147号,0,,"[121.493989,31.240093]",暂无信息 ,1户
5011102207703,建国西路112号,0,,"[121.4716914,31.21395928]",1999年 ,2户
5020036745402347,先棉祠街41号,0,,"[121.49776,31.223261]",暂无信息 ,1户
5015553444744142,华美达广场酒店,0,,"[121.479142,31.208117]",暂无信息 ,2户
5011000005801,瑞金一路138号,0,,"[121.470174,31.22550431]",1946年 ,6户
5016389543047190,浙江中路629号,0,,"[121.483063,31.246956]",1936年 ,60户
5011000006138,西藏南路1207弄,0,,"[121.4937564,31.21510089]",1979年 ,30户
5016974148808264,学院路65号,0,,"[121.502737,31.228978]",1988年 ,1户
5012970523374018,天津路524号,0,,"[121.48328074192,31.241948821893]",暂无信息 ,2户
5011000007400,制造局路66弄,0,,"[121.4884246,31.21484362]",1985年 ,31户
5020040193821208,广东路314-316号,0,,"[121.492074,31.23867]",暂无信息 ,1户
50000000000223,江阴路95、97号,0,,"[121.47533056604,31.235616536422]",1939年 ,2户
509821540057169,中山东二路13号,0,,"[121.49938638774,31.237120096844]",2000年 ,50户
5011000003830,巨鹿路225弄,0,,"[121.4705634,31.22887372]",1936年 ,9户
5011000006950,瞿溪路463弄,1,86273,"[121.4947195,31.20905226]",1972-1973年 ,110户
5011000002889,大吉路24号,0,,"[121.4933268,31.22095728]",暂无信息 ,3户
509977363955856,丽园路642号,0,,"[121.48681496505,31.212935176618]",1985年 ,30户
5011000010489,中和村,0,,"[121.4712581,31.22766295]",1936-1995年 ,7户
5011000005004,瑞金二路132弄,0,,"[121.4724005,31.21698198]",2005年 ,11户
5011000003054,宁安路107弄,0,,"[121.4930108,31.22124803]",暂无信息 ,4户
50000000005705,江阴路157号,0,,"[121.47422417789,31.235303451401]",暂无信息 ,1户
5011000009939,巨鹿路500号,0,,"[121.46377618112,31.228781195809]",1996年 ,5户
50000000006875,淮海中路613弄,0,,"[121.47388381707,31.225762106136]",暂无信息 ,2户
50000000008400,瑞金二路47号,0,,"[121.47093950086,31.223547329284]",暂无信息 ,1户
5011000002558,勤乐邨,0,,"[121.4740203,31.21354381]",1980-1983年 ,8户
50000000004777,泰康路10弄,0,,"[121.47825989224,31.214490936149]",1983年 ,50户
50000000006224,西民立路30号,0,,"[121.49173042043,31.21638797716]",2001年 ,3户
50000000005495,大吉路314号,0,,"[121.48855321144,31.218836141831]",暂无信息 ,1户
5011000011319,重庆南路298弄,1,138746,"[121.4771084,31.22126795]",1949-1990年 ,221户
5011000002167,采寿里,0,144832,"[121.46590274604,31.228872077331]",1937-1987年 ,27户
50000000006605,厦门路114号,0,,"[121.4827982147,31.245638772756]",暂无信息 ,1户
5011000004728,建国西路25弄,0,,"[121.4726312,31.21421801]",暂无信息 ,9户
50000000008592,建国中路51号,0,,"[121.47634764296,31.215718495376]",1940年 ,1户
5016389545929937,陕西南路548号,0,,"[121.468555,31.214497]",1983年 ,57户
50000000008602,南昌路250号,0,,"[121.47110049174,31.223934462361]",暂无信息 ,2户
