title,house_type,district,bizcircle_name,avg_price,area_range,sale_status,open_date,longitude,latitude,tags,index
香里湾,住宅,淳安,淳安,16500,46-80㎡,在售,2021-05-01,119.11629170356,29.687362718235,"['低密居所', '人车分流', '旅游地产', '公交直达']",2
银泰城泰悦府,住宅,淳安,淳安,16000,128-177㎡,在售,2021-09-29,119.15297286406,29.616568704013,"['车位充足', '低密居所', '置换改善', '养老舒适']",2
保集东麟府,住宅,淳安,淳安,11800,55-139㎡,在售,2021-11-99,119.101279,29.594952,"['绿化率高', '人车分流', '健身跑道', '贴心物业']",2
滨江半岛印象一期,住宅,淳安,淳安,13000,89-108㎡,在售,2021-07-99,119.103848,29.597634,"['低密居所', '人车分流', '品牌房企', '小三居']",2
玲珑湾,住宅,淳安,淳安,12000,55-78㎡,在售,2021-04-21,119.01361955157,29.590741000963,"['低密居所', '小型社区', '养老舒适', '品牌房企']",2
悦湖湾花园,别墅,淳安,淳安,22000,132-149㎡,在售,2019-04-99,119.155107,29.610777,"['绿化率高', '人车分流', '国央企', '置换改善']",2
滨江半岛印象二期,住宅,淳安,淳安,12000,89-116㎡,在售,2021-11-20,119.10491908072,29.597582227756,"['低密居所', '人车分流', '品牌房企', '贴心物业']",2
绿城千岛湖湖畔澄庐,住宅,淳安,淳安,14000,95-143㎡,在售,2022-10-10,119.11326133827,29.597224627538,"['车位充足', '低密居所', '国央企', '置换改善']",2
绿城千岛湖湖畔澄庐,别墅,淳安,淳安,19000,173-183㎡,在售,2022-01-99,119.11326133827,29.597224627538,"['车位充足', '人车分流', '国央企', '置换改善']",3
天骄香槟郡,住宅,建德,建德,9000,96-126㎡,在售,2018-05-01,119.301642,29.491022,"['低单价', '车位充足', '低密居所', '置换改善']",1
天骄香槟郡,别墅,建德,建德,18000,168-240㎡,在售,2018-08-01,119.301642,29.491022,"['低单价', '车位充足', '小型社区', '置换改善']",1
恒大御泉四季,住宅,建德,建德,8600,50-136㎡,在售,2020-11-99,119.227939,29.386634,"['低单价', '低总价', '车位充足', '低密居所']",1
航城悦府,住宅,建德,建德,6900,67-122㎡,在售,2021-05-20,119.19722903121,29.342321397511,"['低单价', '人车分流', '小型社区', '置换改善']",1
严州誉境府,别墅,建德,建德,26500,142-157㎡,在售,2021-01-99,119.29049577401,29.482934986943,"['车位充足', '人车分流', '置换改善', '品牌房企']",1
