date,strategy,pnl,success_rate_daily,success_rate,ema_success_rate
2025-09-08,红三兵,2015.9997940063477,0.0,1.0,0.9501353558326278
2025-09-08,突破半年线,2054.0000915527344,0.0,1.0,0.9548843695628537
2025-09-08,成交量放大,3026.9996643066406,1.0,1.0,0.9591810962711533
2025-09-08,多头排列,6570.999908447266,0.8,1.0,0.9630686109119959
2025-09-08,均线收敛,9556.000280380249,0.5,1.0,0.9665858860632344
2025-09-08,连续上涨,17938.000345230103,0.7272727272727273,0.9090909090909091,0.9611101739706319
2025-09-09,红三兵,2501.9997596740723,1.0,1.0,0.9648139669258098
2025-09-09,成交量放大,2576.9994735717773,0.0,1.0,0.9681650176947802
2025-09-09,多头排列,7216.000843048096,0.5714285714285714,0.8571428571428571,0.957591478594597
2025-09-09,均线收敛,8616.000318527222,0.14285714285714285,0.8571428571428571,0.9480249432182408
2025-09-09,连续上涨,17216.000080108643,0.2727272727272727,0.9090909090909091,0.9443169399680187
2025-09-10,成交量放大,2194.00053024292,0.0,1.0,0.9496200885424931
2025-09-10,红三兵,2267.99955368042,0.0,1.0,0.95441817534797
2025-09-10,多头排列,7419.001293182373,0.2857142857142857,0.8571428571428571,0.9451538593284354
2025-09-10,均线收敛,8825.999116897583,0.14285714285714285,0.8571428571428571,0.9367718591202852
2025-09-10,连续上涨,14760.999822616577,0.3,1.0,0.9427935868231151
2025-09-11,红三兵,2267.99955368042,0.0,1.0,0.948241816649485
2025-09-11,成交量放大,2517.999744415283,0.5,1.0,0.9531711674447721
2025-09-11,多头排列,9627.99997329712,0.8571428571428571,0.8571428571428571,0.944025614082685
2025-09-11,均线收敛,10239.000463485718,0.5714285714285714,1.0,0.9493565079795722
2025-09-11,连续上涨,16469.99840736389,0.8,0.9,0.9446558881719939
2025-09-12,红三兵,2267.99955368042,0.0,1.0,0.9499267559651373
2025-09-12,成交量放大,2305.9995651245117,0.0,1.0,0.9546956363494099
2025-09-12,多头排列,8984.000635147095,0.2222222222222222,0.8888888888888888,0.9484283270674555
2025-09-12,均线收敛,9018.00045967102,0.0,0.7142857142857143,0.9261290306120515
2025-09-12,连续上涨,15072.000074386597,0.09090909090909091,0.9090909090909091,0.9245063523719427
2025-09-15,红三兵,2141.9992446899414,0.0,1.0,0.9316962235746148
2025-09-15,成交量放大,2304.9991607666016,0.5,1.0,0.9382013451389372
2025-09-15,均线收敛,8803.000211715698,0.42857142857142855,1.0,0.9440869313161813
2025-09-15,多头排列,9197.000932693481,0.5555555555555556,0.8888888888888888,0.9388299748945343
2025-09-15,连续上涨,15300.999736785889,0.45454545454545453,0.9090909090909091,0.9359976829132367
2025-09-16,成交量放大,2241.0003662109375,0.5,1.0,0.9420931416834046
2025-09-16,红三兵,2321.999931335449,1.0,1.0,0.9476080805706995
2025-09-16,均线收敛,8462.000513076782,0.42857142857142855,0.7142857142857143,0.9253869028292723
2025-09-16,多头排列,9922.002267837524,0.3333333333333333,0.8888888888888888,0.9219109015016167
2025-09-16,连续上涨,15571.999454498291,0.25,0.8333333333333334,0.9134749426284468
2025-09-17,红三兵,2159.999656677246,0.0,1.0,0.9217154242828804
2025-09-17,成交量放大,2169.0000534057617,0.5,1.0,0.9291710981607013
2025-09-17,均线收敛,9842.998838424683,0.5714285714285714,0.8571428571428571,0.9223112656828114
2025-09-17,多头排列,11283.000659942627,0.6666666666666666,1.0,0.9297101927606389
2025-09-17,连续上涨,16849.99794960022,0.6666666666666666,0.9166666666666666,0.9284679521802607
2025-09-18,成交量放大,1761.0000610351562,0.0,0.5,0.8876614805440455
2025-09-18,红三兵,1979.999828338623,0.0,1.0,0.8983603871588983
2025-09-18,多头排列,9335.0013256073,0.1,0.8,0.8889927312390034
2025-09-18,均线收敛,10161.99917793274,0.14285714285714285,0.8571428571428571,0.8859594098965132
2025-09-18,连续上涨,16638.99850845337,0.3076923076923077,0.7692307692307693,0.8748423964997757
2025-09-19,成交量放大,1898.0003356933594,0.5,1.0,0.8867621682617018
2025-09-19,均线收敛,7716.998338699341,0.2,1.0,0.8975467236653493
2025-09-19,多头排列,10359.000158309937,0.7,1.0,0.9073041785543636
2025-09-19,连续上涨,19310.000371932983,0.8181818181818182,1.0,0.9161323520253766
2025-09-22,成交量放大,1749.9990463256836,0.0,1.0,0.9241197470705788
2025-09-22,均线收敛,9400.000429153442,0.8,1.0,0.9313464378257618
2025-09-22,多头排列,10436.999702453613,0.4,0.9,0.9283610627947368
2025-09-22,连续上涨,18808.00075531006,0.2727272727272727,1.0,0.9351838187190477
2025-09-23,成交量放大,1905.999755859375,1.0,1.0,0.9413567883648526
2025-09-23,多头排列,9069.00086402893,0.4,1.0,0.9469418561396286
2025-09-23,均线收敛,11754.999113082886,0.5,1.0,0.9519950126977592
2025-09-23,连续上涨,18473.00057411194,0.6,1.0,0.9565669162503536
2025-09-24,成交量放大,2169.000244140625,1.0,1.0,0.9607034004169867
2025-09-24,多头排列,9817.001819610596,0.8,1.0,0.9644459337106069
2025-09-24,均线收敛,11059.998941421509,0.5,0.75,0.9440225114524539
2025-09-24,连续上涨,18413.999891281128,0.6,1.0,0.9493537008379345
2025-09-25,成交量放大,2226.000213623047,1.0,1.0,0.9541771579009883
2025-09-25,多头排列,9842.000436782837,0.4,1.0,0.9585412381008942
2025-09-25,均线收敛,10148.000001907349,0.25,1.0,0.9624896916150948
2025-09-25,连续上涨,18830.999660491943,0.5,1.0,0.9660621019374667
2025-09-26,成交量放大,2040.0001525878906,0.0,1.0,0.969294282705327
2025-09-26,多头排列,10063.999843597412,0.5,1.0,0.9722186367333912
2025-09-26,均线收敛,11303.999471664429,0.75,1.0,0.9748644808540206
2025-09-26,连续上涨,18948.999977111816,0.7,1.0,0.9772583398203043
2025-09-29,成交量放大,2300.0,1.0,1.0,0.9794242122183705
2025-09-29,多头排列,12111.999988555908,0.75,1.0,0.9813838110547162
2025-09-29,均线收敛,12619.000101089478,0.5,1.0,0.9831567814304575
2025-09-29,连续上涨,21575.00023841858,0.6666666666666666,1.0,0.9847608974846996
2025-09-30,成交量放大,2850.0,1.0,1.0,0.9862122405813949
