,industry,cnt
0,综合性银行,23
1,电力公用事业,22
2,生物科技,21
3,应用软件,20
4,制药,19
5,互联网服务与基础设施,17
6,医疗保健设备,17
7,资产管理与托管银行,14
8,工业机械、物料与部件,14
9,特种房地产投资信托,13
