,SYMBOL,IND,NAME,TOTAL VALUE,ERP,OPEN DATE,CLOSE DATE,BASE,ADJBASE,PNL,PNL RATIO,HIS DAYS,STRATEGY,pnl_growth
25,BLK,资产管理<span style='color:#ff4444;'><b>↑10</b></span>/67,贝莱德集团,1602.0,-0.7,2026-02-20,2026-02-27,1093.6400146484375,1063.22998046875,-273.6903076171875,-0.02780625596390887,7,连续下跌,-1639.1312294006348
26,SYK,医疗设备<span style='color:#00a859;'><b>↓38</b></span>/68,史赛克公司,1412.6,-1.8,2026-02-10,2026-03-05,361.05999755859375,370.5,254.88006591796875,0.0261452459570083,23,跌破年线,-1749.7998504638672
27,SBSW,贵金属采矿<span style='color:#00a859;'><b>↓53</b></span>/71,Sibanye Stillwater Ltd.,98.9,,2026-02-26,2026-03-03,17.0,14.949999809265137,-1205.4001121520996,-0.12058824651381549,5,低于买入价10%,-1890.4297142028809
28,HL,贵金属采矿<span style='color:#00a859;'><b>↓53</b></span>/71,赫克拉矿业,137.7,-1.8,2026-02-27,2026-03-03,24.90999984741211,21.700000762939453,-1287.2096328735352,-0.12886387411223296,4,低于买入价10%,-1890.4297142028809
29,PH,专业工业机械<span style='color:#00a859;'><b>↓44</b></span>/73,派克汉尼汾,1211.7,-1.3,2025-10-30,2026-03-05,774.3499755859375,965.4199829101562,2292.840087890625,0.24674890340073855,126,连续下跌,-3073.3998413085938
30,ETN,专业工业机械<span style='color:#00a859;'><b>↓44</b></span>/73,伊顿公司,1366.5,-1.2,2026-01-06,2026-03-03,332.9700012207031,355.55999755859375,677.6998901367188,0.06784393865835756,56,连续下跌,-3073.3998413085938
31,HSBC,多元化银行<span style='color:#00a859;'><b>↓40</b></span>/74,汇丰控股公司,2935.9,2.9,2025-10-27,2026-03-05,67.19999694824219,85.75,2745.4004516601562,0.2760417246156295,129,连续下跌,-3116.2504959106445
32,SMFG,多元化银行<span style='color:#00a859;'><b>↓40</b></span>/74,三井住友金融集团,1287.7,3.3,2025-10-30,2026-03-05,16.209999084472656,20.299999237060547,2519.4400939941406,0.25231341046191963,126,连续下跌,-3116.2504959106445
33,MUFG,多元化银行<span style='color:#00a859;'><b>↓40</b></span>/74,"Mitsubishi UFJ Financial Group, Inc.",1940.0,2.5,2025-11-28,2026-03-05,15.779999732971191,17.229999542236328,917.8498792648315,0.09188845588098869,97,连续下跌,-3116.2504959106445
34,BBVA,多元化银行<span style='color:#00a859;'><b>↓40</b></span>/74,Banco Bilbao Vizcaya Argentaria SA,1223.7,5.5,2026-02-26,2026-03-03,23.65999984741211,20.8799991607666,-1173.1602897644043,-0.11749791650778812,5,低于买入价10%,-3116.2504959106445
35,CCJ,铀业<span style='color:#00a859;'><b>↓38</b></span>/76,Cameco Corp.,493.6,-3.3,2025-12-02,2026-03-05,88.2300033569336,114.23999786376953,2939.129379272461,0.29479761438535557,93,连续下跌,-3907.5203704833984
36,UUUU,铀业<span style='color:#00a859;'><b>↓38</b></span>/76,"Energy Fuels, Inc.",48.6,-6.0,2026-01-02,2026-03-03,16.68000030517578,20.889999389648438,2521.789451599121,0.2523980220291902,60,连续下跌,-3907.5203704833984
37,PRIM,工程与建筑<span style='color:#00a859;'><b>↓53</b></span>/77,Primoris Services Corp.,75.0,-0.4,2025-11-28,2026-03-04,126.55999755859375,144.61000061035156,1425.9502410888672,0.1426201280021451,96,连续下跌,-4187.200626373291
38,RIO,工业金属采矿<span style='color:#00a859;'><b>↓76</b></span>/79,力拓公司,1166.2,,2025-11-26,2026-03-04,72.19999694824219,96.25,3318.900421142578,0.33310254942252243,98,连续下跌,-4481.350467681885
39,ELAN,药品制造商<span style='color:#00a859;'><b>↓61</b></span>/80,"Elanco Animal Health, Inc.",118.0,-6.1,2025-12-19,2026-03-05,22.299999237060547,23.920000076293945,725.7603759765625,0.07264578002949462,76,连续下跌,-4902.347547531128
40,SNY,药品制造商<span style='color:#00a859;'><b>↓61</b></span>/80,赛诺菲-安万特公司,1100.0,0.0,2026-02-24,2026-03-04,47.310001373291016,46.220001220703125,-229.99003219604492,-0.023039529083659107,8,空头排列,-4902.347547531128
41,PFE,药品制造商<span style='color:#00a859;'><b>↓61</b></span>/80,辉瑞制药公司,1507.0,1.0,2026-01-06,2026-03-03,25.43000030517578,26.579999923706055,451.94985008239746,0.04522216298582637,56,连续下跌,-4902.347547531128
42,HBM,铜业<span style='color:#00a859;'><b>↓73</b></span>/81,"Hudbay Minerals, Inc.",90.7,2.1,2025-11-26,2026-03-05,16.59000015258789,23.040000915527344,3882.900459289551,0.38878846917510795,99,连续下跌,-6243.340400695801
43,SCCO,铜业<span style='color:#00a859;'><b>↓73</b></span>/81,美国南方铜业公司,1563.7,-1.4,2025-12-08,2026-03-05,141.0399932861328,191.8699951171875,3558.100128173828,0.3603942445454749,87,连续下跌,-6243.340400695801
