,SYMBOL,IND,NAME,TOTAL VALUE,ERP,SHARPE RATIO,SORTINO RATIO,MAX DD,OPEN DATE,BASE,ADJBASE,PNL,PNL RATIO,AVG TRANS,AVG DAYS,WIN RATE,TOTAL PNL RATIO,STRATEGY,pnl_growth
0,GEMI,资本市场<span style='color:#ff4444;'><b>↑1</b></span>/0,Gemini Space Station  Inc.,10.6,,2.4035940706734107,6.264711435403422,-0.2632911264046399,2026-03-03,6.5,9.25,4229.5,0.4230769230769231,2,7.5,0.5,0.17737804696716464,连续上涨,8369.909156799316
1,HOOD,资本市场<span style='color:#ff4444;'><b>↑1</b></span>/0,罗宾汉,717.9,-1.5,0.3935430422714144,0.6617842833801033,-0.1783733277205809,2026-02-20,76.11000061035156,80.55999755859375,582.9496002197266,0.05846796626666894,4,24.0,0.5,-0.008046400966069914,连续上涨,8369.909156799316
2,CRCL,资本市场<span style='color:#ff4444;'><b>↑1</b></span>/0,"Circle Internet Group, Inc.",252.8,-4.5,6.0462134937449115,21.597653230230485,-0.05773706312987725,2026-02-18,63.150001525878906,105.73999786376953,6729.219421386719,0.6744258956262609,6,11.333333333333334,0.16666666666666666,0.05317871163088263,连续上涨,8369.909156799316
3,ORCL,软件<span style='color:#ff4444;'><b>↑2</b></span>/1,甲骨文公司,4416.9,-0.6,1.2981586921724917,2.0839310657920285,-0.11758462534546432,2026-03-03,149.00999450683594,154.7899932861328,387.2599182128906,0.03878933623497123,4,18.0,0.5,-0.000727054526029504,连续上涨,7569.63810634613
4,SHOP,软件<span style='color:#ff4444;'><b>↑2</b></span>/1,"Shopify, Inc.",1755.1,-3.4,3.1524880220160627,4.996978598186427,-0.13030489217244134,2026-03-02,119.37999725341797,134.7899932861328,1279.029670715332,0.12908356833015122,4,17.5,0.5,0.014484701404617084,连续上涨,7569.63810634613
5,ASAN,软件<span style='color:#ff4444;'><b>↑2</b></span>/1,"Asana, Inc.",18.7,-14.3,-2.105392560241549,-2.9055177698211136,-0.24885847582381238,2026-03-02,7.300000190734863,7.909999847412109,835.0895299911499,0.08356159462179956,4,13.75,0.5,-0.002706965817424496,连续上涨,7569.63810634613
6,ADBE,软件<span style='color:#ff4444;'><b>↑2</b></span>/1,Adobe,1152.6,1.8,0.29610890145507207,0.4313432515941015,-0.08430164719465771,2026-03-02,260.8800048828125,281.739990234375,792.679443359375,0.07996007728124975,3,19.0,0.6666666666666666,0.01352814322176629,连续上涨,7569.63810634613
7,GCT,软件<span style='color:#ff4444;'><b>↑2</b></span>/1,大健云仓科技公司,15.7,4.2,1.573302937246994,6.612572711528579,-0.15975156037703808,2026-03-02,43.0099983215332,43.65999984741211,150.80035400390625,0.015112800540461291,3,24.666666666666668,0.6666666666666666,0.051301073986561474,连续上涨,7569.63810634613
8,DV,软件<span style='color:#ff4444;'><b>↑2</b></span>/1,"DoubleVerify Holdings, Inc.",17.5,-1.3,2.1845182709721884,3.6543196143449945,-0.09230765318259226,2026-02-27,10.539999961853027,10.920000076293945,360.24010848999023,0.036053141918048974,4,17.5,0.5,-0.011272747698783841,连续上涨,7569.63810634613
9,NOW,软件<span style='color:#ff4444;'><b>↑2</b></span>/1,现在服务公司,1262.6,-2.7,1.9916590279096678,2.778490409223752,-0.06502174812707939,2026-02-26,109.30000305175781,120.37999725341797,1008.2794723510742,0.10137231374470637,4,8.5,0.25,-0.050999927116566875,连续上涨,7569.63810634613
10,RAMP,软件<span style='color:#ff4444;'><b>↑2</b></span>/1,"LiveRamp Holdings, Inc.",18.4,-0.5,7.782327189703402,10.47682759797923,-0.043681706651558794,2026-02-24,25.84000015258789,29.260000228881836,1320.120029449463,0.13235294334746475,6,13.833333333333334,0.5,-0.007073601538915408,连续上涨,7569.63810634613
11,FIVN,软件<span style='color:#ff4444;'><b>↑2</b></span>/1,"Five9, Inc.",14.0,-1.3,1.3215417509246148,1.9366678837696922,-0.09730844671132421,2026-02-20,19.31999969482422,18.239999771118164,-558.3599605560303,-0.05590061805204811,4,16.75,0.0,-0.05152478431143231,连续上涨,7569.63810634613
12,FIG,软件<span style='color:#ff4444;'><b>↑2</b></span>/1,"Figma, Inc.",155.2,-12.6,4.624700384977799,12.820830790142436,-0.0863070494100634,2026-02-13,22.530000686645508,30.299999237060547,3442.1093578338623,0.34487342714643804,3,30.666666666666668,0.6666666666666666,0.1007213945249022,连续上涨,7569.63810634613
13,LXU,化学品<span style='color:#ff4444;'><b>↑2</b></span>/2,LSB工业材料,10.1,-1.7,6.134196611142563,11.49717521278205,-0.06292348725372265,2026-01-06,8.90999984741211,13.960000038146973,5666.100214004517,0.5667789312254169,5,27.8,0.2,0.052984585840807334,连续上涨,6310.439910888672
14,BAK,化学品<span style='color:#ff4444;'><b>↑2</b></span>/2,Braskem SA,19.5,-50.2,3.7688010547118096,6.106920709722904,-0.16046517791458947,2025-12-26,2.930000066757202,4.909999847412109,6755.7592515945435,0.6757678278302176,2,61.0,1.0,0.38157921091391833,连续上涨,6310.439910888672
15,SOC,石油天然气钻探<span style='color:#ff4444;'><b>↑25</b></span>/3,Sable Offshore Corp.,18.9,-32.9,4.629436650600588,9.519444738956002,-0.15401074602215825,2026-03-04,10.09000015258789,13.850000381469727,3726.1602268218994,0.3726462013895479,6,13.833333333333334,0.3333333333333333,0.11383574164397904,连续上涨,3726.1602268218994
16,AMPX,电气设备零件<span style='color:#ff4444;'><b>↑11</b></span>/4,"Amprius Technologies, Inc.",18.9,-6.5,2.2880532309285058,4.578798093979095,-0.2377901815676815,2026-02-26,11.520000457763672,14.890000343322754,2925.159900665283,0.29253470066383014,4,27.0,0.75,0.18200431633821712,连续上涨,3610.8806953430176
17,COIN,金融证券交易所<span style='color:#ff4444;'><b>↑4</b></span>/5,"Coinbase Global, Inc.",540.1,-1.7,2.4880158505264545,5.028054036922402,-0.15641257794983177,2026-02-20,171.35000610351562,205.7100067138672,1992.8800354003906,0.2005252371546113,5,13.0,0.2,-0.028103716269438448,连续上涨,1731.8800354003906
18,DAWN,生物技术<span style='color:#00a859;'><b>↓6</b></span>/6,"Day One Biopharmaceuticals, Inc.",13.1,-12.3,2.2654075736168737,7.867972246346407,-0.16901408561988673,2026-03-04,12.869999885559082,12.779999732971191,-69.93011856079102,-0.006993018911280352,3,40.0,0.6666666666666666,0.1135321612398315,多头排列,1512.4089980125427
