industry,cnt
软件<span style='color:#ff4444;'><b>↑7</b></span>/1,7
石油天然气勘探生产<span style='color:#ff4444;'><b>↑16</b></span>/2,3
生物技术/0,3
通信设备<span style='color:#00a859;'><b>↓5</b></span>/17,2
石油天然气炼制销售<span style='color:#ff4444;'><b>↑13</b></span>/3,2
信息技术服务/10,2
互联网零售/9,2
金融证券交易所<span style='color:#00a859;'><b>↓8</b></span>/11,1
电信服务/13,1
特殊品类REIT<span style='color:#00a859;'><b>↓11</b></span>/15,1
