date,strategy,pnl,success_rate_daily,success_rate,ema_success_rate
2025-09-08,均线金叉,1618.0009841918945,1.0,1.0,0.9215775595767295
2025-09-08,突破年线,10118.000030517578,0.0,1.0,0.9290463634265648
2025-09-08,突破半年线,11201.00040435791,0.5714285714285714,1.0,0.9358038526240348
2025-09-08,成交量放大,11326.998901367188,0.6666666666666666,1.0,0.9419177714217457
2025-09-08,红三兵,31412.999653816223,0.5384615384615384,1.0,0.9474494122387223
2025-09-08,多头排列,124726.99856758118,0.6181818181818182,0.9272727272727272,0.9455278231943418
2025-09-08,均线收敛,154189.0053510666,0.5084745762711864,0.9661016949152542,0.9474872395487144
2025-09-08,连续上涨,624078.0117750168,0.518796992481203,0.9323308270676691,0.9460437716933767
2025-09-09,均线金叉,1533.9994430541992,0.5,1.0,0.9511824601035314
2025-09-09,成交量放大,2576.9994735717773,0.0,1.0,0.9558317496174807
2025-09-09,突破半年线,8774.000930786133,0.2857142857142857,0.7142857142857143,0.9328273653001696
2025-09-09,突破年线,9701.998805999756,0.0,1.0,0.9392247590811058
2025-09-09,红三兵,32579.999828338623,0.6153846153846154,1.0,0.9450128772638576
2025-09-09,多头排列,119359.0017080307,0.39344262295081966,0.9016393442622951,0.9408820645970422
2025-09-09,均线收敛,153469.0021276474,0.31746031746031744,0.873015873015873,0.934418617779788
2025-09-09,连续上涨,588568.0013418198,0.23076923076923078,0.9307692307692308,0.9340710571121159
2025-09-10,均线金叉,1603.9995193481445,0.5,1.0,0.9403500040538192
2025-09-10,成交量放大,2194.00053024292,0.0,1.0,0.9460309560486936
2025-09-10,突破半年线,9109.000396728516,0.5714285714285714,0.8571428571428571,0.9375654228195663
2025-09-10,突破年线,10479.999160766602,0.3333333333333333,0.6666666666666666,0.9117655412811949
2025-09-10,红三兵,33617.001366615295,0.21428571428571427,0.9285714285714286,0.9133661019755028
2025-09-10,多头排列,121736.9992017746,0.3076923076923077,0.8,0.9025693303587883
2025-09-10,均线收敛,154142.00251102448,0.40625,0.84375,0.896967489372237
2025-09-10,连续上涨,600034.9972486496,0.4715447154471545,0.926829268292683,0.8998114683170415
2025-09-11,均线金叉,1973.9997863769531,0.5,1.0,0.909353233239228
2025-09-11,成交量放大,2517.999744415283,0.5,1.0,0.9179862586450158
2025-09-11,突破半年线,10857.999610900879,0.7142857142857143,0.8571428571428571,0.9121916489781435
2025-09-11,突破年线,12885.999536514282,1.0,1.0,0.9205543490754632
2025-09-11,红三兵,37884.002923965454,0.9285714285714286,0.9285714285714286,0.9213178804560314
2025-09-11,多头排列,143063.99896144867,0.7910447761194029,0.8507462686567164,0.9145967745703824
2025-09-11,均线收敛,171443.00138950348,0.7846153846153846,0.9076923076923077,0.91393920629628
2025-09-11,连续上涨,675282.9990625381,0.8346456692913385,0.9291338582677166,0.9153863160078454
2025-09-12,成交量放大,2395.999336242676,0.3333333333333333,1.0,0.9234447621023363
2025-09-12,均线金叉,2533.999824523926,0.5,1.0,0.930735737140209
2025-09-12,突破半年线,12187.00065612793,0.42857142857142855,0.8571428571428571,0.9237268914261755
2025-09-12,突破年线,12733.9994430542,0.25,0.75,0.9071814731951111
2025-09-12,红三兵,39260.00049114227,0.35714285714285715,0.9285714285714286,0.9092186118023794
2025-09-12,多头排列,149105.00059127808,0.46153846153846156,0.782051282051282,0.89710743754037
2025-09-12,均线收敛,178400.99885463715,0.5,0.8333333333333334,0.891033713330176
2025-09-12,连续上涨,694210.0080013275,0.42142857142857143,0.8428571428571429,0.8864454685232205
2025-09-15,成交量放大,1778.9992332458496,0.2,0.4,0.8401173286638661
2025-09-15,均线金叉,2067.9996490478516,0.5,1.0,0.8553442497434979
2025-09-15,突破半年线,10921.000862121582,0.14285714285714285,0.7142857142857143,0.8419101035094232
2025-09-15,突破年线,11705.000066757202,0.0,0.75,0.8331567603180495
2025-09-15,红三兵,36434.997844696045,0.3076923076923077,0.9230769230769231,0.8417205853427042
2025-09-15,多头排列,143229.0024280548,0.26744186046511625,0.6744186046511628,0.8257870633720812
2025-09-15,均线收敛,165127.99923419952,0.328125,0.890625,0.8319621049556926
2025-09-15,连续上涨,689251.9959688187,0.3586206896551724,0.8413793103448276,0.8328589816594197
2025-09-16,成交量放大,1645.0000762939453,0.6,0.4,0.7916343167394749
2025-09-16,均线金叉,1904.0002822875977,0.0,1.0,0.8114786675261916
2025-09-16,突破半年线,11686.001014709473,0.5714285714285714,0.7142857142857143,0.8022221957890032
2025-09-16,突破年线,11910.999250411987,0.75,0.75,0.7972486533329076
2025-09-16,红三兵,37848.99904727936,0.42857142857142855,0.8571428571428571,0.8029528632195695
2025-09-16,多头排列,148789.0060186386,0.4044943820224719,0.6966292134831461,0.7928268013399101
2025-09-16,均线收敛,165569.0000295639,0.4307692307692308,0.8461538461538461,0.7979055675126658
2025-09-16,连续上涨,698147.0035791397,0.528169014084507,0.852112676056338,0.8030681492787298
2025-09-17,成交量放大,1567.99955368042,0.6,0.4,0.7646807064902793
2025-09-17,均线金叉,2161.9997024536133,1.0,1.0,0.7870920677769194
2025-09-17,突破半年线,11542.000961303711,0.5714285714285714,0.7142857142857143,0.7801581293491856
2025-09-17,突破年线,12474.999380111694,0.8,1.0,0.8010954503635489
2025-09-17,红三兵,38437.00201511383,0.38461538461538464,1.0,0.8200387408051156
2025-09-17,多头排列,149354.0001630783,0.4318181818181818,0.7045454545454546,0.8090393802089575
2025-09-17,均线收敛,160943.99783611298,0.532258064516129,0.8870967741935484,0.8164734177312994
2025-09-17,连续上涨,711075.9964704514,0.4594594594594595,0.8378378378378378,0.8185081244081126
2025-09-18,成交量放大,656.9997310638428,0.0,0.2,0.7596025887501971
2025-09-18,均线金叉,2112.0006561279297,0.5,1.0,0.7824975802977974
2025-09-18,突破半年线,11194.999694824219,0.4,1.0,0.8032120964599119
2025-09-18,突破年线,12753.999853134155,0.4,1.0,0.8219538015589679
2025-09-18,红三兵,37588.999009132385,0.38461538461538464,0.9230769230769231,0.8315845750368684
2025-09-18,多头排列,135857.00414180756,0.2736842105263158,0.6631578947368421,0.8155439388178183
2025-09-18,均线收敛,151894.99909877777,0.19047619047619047,0.7777777777777778,0.8119471615759096
2025-09-18,连续上涨,692737.993478775,0.27906976744186046,0.7151162790697675,0.8027251727658009
2025-09-19,成交量放大,858.0002069473267,0.5,0.5,0.7738942039309626
2025-09-19,均线金叉,2110.000228881836,0.5,1.0,0.7954280892708709
2025-09-19,突破半年线,10612.000274658203,0.2,1.0,0.8149111283879309
2025-09-19,突破年线,12210.000991821289,0.2,0.6,0.7944434018747947
2025-09-19,红三兵,33689.99843597412,0.45454545454545453,1.0,0.8140202207438618
2025-09-19,多头排列,139597.99931049347,0.4418604651162791,0.7209302325581395,0.8051545075833169
2025-09-19,均线收敛,146574.9971151352,0.4230769230769231,0.8846153846153846,0.8127222101577996
2025-09-19,连续上涨,692556.997346878,0.45751633986928103,0.7908496732026143,0.8106391114001629
2025-09-22,成交量放大,1514.9983644485474,0.5,0.6666666666666666,0.7969274499969727
2025-09-22,均线金叉,1690.0009155273438,0.0,1.0,0.8162676928544039
2025-09-22,突破半年线,11706.999778747559,0.8,1.0,0.8337660078206511
2025-09-22,突破年线,14011.00025177002,0.75,1.0,0.8495978165996367
2025-09-22,红三兵,34673.00007343292,0.4,1.0,0.863921834066338
2025-09-22,均线收敛,145677.99994945526,0.574468085106383,0.8723404255319149,0.8647236046821073
2025-09-22,多头排列,152180.99739551544,0.6049382716049383,0.7777777777777778,0.8564430497388378
2025-09-22,连续上涨,718819.0031290054,0.5734265734265734,0.8181818181818182,0.8527991229238836
2025-09-23,均线金叉,1648.0003356933594,0.5,1.0,0.8668182540739899
2025-09-23,成交量放大,1715.998911857605,0.6666666666666666,0.6666666666666666,0.8477561981304353
2025-09-23,突破半年线,11278.999900817871,0.4,1.0,0.8622556078322986
2025-09-23,突破年线,14688.999366760254,0.6,1.0,0.8753741213720797
2025-09-23,红三兵,31775.00138282776,0.1,0.9,0.8777194431461673
2025-09-23,均线收敛,141606.9977760315,0.3902439024390244,0.926829268292683,0.8823965693505973
2025-09-23,多头排列,141647.00198173523,0.33783783783783783,0.7702702702702703,0.87171787420009
2025-09-23,连续上涨,692050.998544693,0.4326241134751773,0.8085106382978723,0.8656981374474977
2025-09-24,均线金叉,1822.000503540039,0.5,1.0,0.8784887910239265
2025-09-24,成交量放大,3140.9997940063477,0.75,1.0,0.8900612871168859
2025-09-24,突破半年线,12697.999954223633,0.8,1.0,0.9005316407248015
2025-09-24,突破年线,14940.998268127441,0.6,1.0,0.91000481779863
2025-09-24,红三兵,25472.00036048889,0.5714285714285714,1.0,0.9185757875320938
2025-09-24,均线收敛,137325.00097751617,0.7777777777777778,0.9722222222222222,0.9236849717882964
2025-09-24,多头排列,147842.99852848053,0.6901408450704225,0.8169014084507042,0.9135151086132877
2025-09-24,连续上涨,685562.0024681091,0.6268656716417911,0.8582089552238806,0.9082478559095346
2025-09-25,均线金叉,1741.999626159668,0.0,1.0,0.9169861553467218
2025-09-25,成交量放大,2800.9994506835938,0.5,0.75,0.9010827119803673
2025-09-25,突破半年线,13705.000114440918,0.6,1.0,0.9105034060774752
2025-09-25,突破年线,14064.997863769531,0.0,1.0,0.9190268912129537
2025-09-25,红三兵,27647.001266479492,0.75,1.0,0.926738615859339
2025-09-25,均线收敛,129948.99990558624,0.4358974358974359,0.8717948717948718,0.9215058783293898
