,SYMBOL,NAME,TOTAL VALUE,OPEN DATE,BASE,ADJBASE,PNL,PNL RATIO,AVG TRANS,AVG DAYS,WIN RATE,TOTAL PNL RATIO,STRATEGY
0,ETF563230,卫星ETF,54.3,2026-03-02,1.6799999475479126,1.5800000429153442,-589.9994373321533,-0.05952375461590092,3,33.0,0.3333333333333333,0.16080503580375846,连续上涨
1,ETF159399,现金流ETF,50.9,2026-02-27,1.2200000286102295,1.2200000286102295,0.0,0.0,3,32.0,0.3333333333333333,-0.005810042855279446,连续上涨
2,ETF159611,电力ETF,52.1,2026-02-26,1.059999942779541,1.1399999856948853,752.0004034042358,0.07547174267346414,5,19.0,0.6,0.00931323863039939,多头排列
3,ETF515880,通信ETF,150.2,2026-02-26,1.1100000143051147,1.0800000429153442,-269.99974250793457,-0.027027000903735277,4,26.75,0.25,-0.15194783325225494,连续上涨
4,ETF515050,通信ETF华夏,78.7,2026-02-24,2.380000114440918,2.380000114440918,0.0,0.0,4,25.75,0.5,0.002818317575293187,多头排列
5,ETF159980,有色ETF大成,84.8,2026-02-24,2.0999999046325684,2.0899999141693115,-46.99995517730713,-0.004761900436850977,1,10.0,0.0,-0.004761900436850977,连续上涨
6,ETF516150,稀土ETF嘉实,120.1,2026-02-09,2.0199999809265137,2.140000104904175,588.0006074905396,0.05940600253006966,4,29.0,0.5,0.021794702628858898,连续上涨
7,ETF560610,A500ETF招商,54.7,2026-02-09,1.2200000286102295,1.2100000381469727,-80.99992275238037,-0.00819671330225163,3,37.666666666666664,0.3333333333333333,0.006112334250768848,连续上涨
8,ETF515220,煤炭ETF,103.4,2026-02-04,1.1699999570846558,1.2400000095367432,595.0004458427429,0.059829106854422325,3,40.0,0.6666666666666666,0.048230744429104584,突破半年线
9,ETF510880,红利ETF华泰柏瑞,167.7,2026-02-04,3.1500000953674316,3.2799999713897705,402.9996156692505,0.04126980066239491,4,26.25,0.5,-0.0023715768723580654,均线收敛
10,ETF515080,中证红利ETF,78.6,2026-02-04,1.6100000143051147,1.649999976158142,247.99976348876953,0.02484469658237336,4,26.5,0.5,-0.00010074772444717662,多头排列
11,ETF512800,银行ETF,119.8,2026-02-04,0.7799999713897705,0.7799999713897705,0.0,0.0,2,40.0,1.0,0.012332670053181696,连续上涨
12,ETF511990,华宝添益ETF,769.9,2026-01-30,100.0,100.0,0.0,0.0,10,10.1,0.1,-0.00012000960381984977,均线收敛
13,ETF563020,红利低波ETF易方达,64.9,2026-01-29,1.190000057220459,1.2100000381469727,167.99983978271484,0.016806705852795166,2,45.5,1.0,0.012551448520051502,连续上涨
14,ETF159549,红利低波ETF天弘,54.4,2026-01-28,1.2100000381469727,1.2300000190734863,163.9998435974121,0.01652890933552547,4,23.0,0.5,-0.0020388109573395235,连续上涨
15,ETF512890,红利低波ETF华泰柏瑞,300.1,2026-01-26,1.159999966621399,1.190000057220459,258.0007791519165,0.025862147812329633,2,45.5,1.0,0.01719638540397809,连续上涨
16,ETF515100,红利低波100ETF,57.2,2026-01-26,1.440000057220459,1.4700000286102295,206.9998025894165,0.020833312637276943,4,26.0,0.5,-0.0011597011802331816,连续上涨
17,ETF512960,央企结构调整ETF博时,61.9,2025-12-31,1.4199999570846558,1.5499999523162842,909.9999666213989,0.09154929518344924,1,65.0,1.0,0.09154929518344924,连续上涨
18,ETF515790,光伏ETF,113.0,2025-12-25,0.9700000286102295,1.1299999952316284,1647.999656200409,0.1649484143321515,1,71.0,1.0,0.1649484143321515,连续上涨
19,ETF515180,红利ETF易方达,117.4,2025-12-25,1.3700000047683716,1.4600000381469727,648.0002403259277,0.06569345479222648,4,29.0,0.25,0.0058317296564668105,连续上涨
20,ETF159201,自由现金流ETF,159.9,2025-12-19,1.2000000476837158,1.3899999856948853,1576.9994854927063,0.15833327538437544,2,44.0,0.5,0.0628205802368122,多头排列
21,ETF512950,央企改革ETF华夏,64.7,2025-12-19,1.4299999475479126,1.600000023841858,1173.0005264282227,0.11888117659406376,2,44.0,0.5,0.048780482739471005,均线收敛
22,ETF516120,化工50ETF,98.2,2025-12-17,0.8199999928474426,1.0399999618530273,2661.999624967575,0.2682926474689796,2,66.0,1.0,0.15368749690591754,多头排列
23,ETF159870,化工ETF,364.8,2025-12-17,0.7599999904632568,0.9599999785423279,2619.9998438358307,0.2631578823536055,3,48.0,0.6666666666666666,0.06934941351489124,多头排列
24,ETF159326,电网设备ETF,303.9,2025-12-05,1.440000057220459,2.0799999237060547,4415.99907875061,0.444444334065477,1,91.0,1.0,0.444444334065477,连续上涨
25,ETF561380,电网ETF,56.7,2025-12-05,1.5800000429153442,2.240000009536743,4157.999789714813,0.41772148651565666,1,91.0,1.0,0.41772148651565666,连续上涨
26,ETF159652,有色ETF汇添富,63.1,2025-12-02,1.5099999904632568,1.9600000381469727,2970.0003147125244,0.2980132784939019,1,94.0,1.0,0.2980132784939019,多头排列
27,ETF560860,工业有色ETF万家,150.2,2025-12-01,1.440000057220459,1.9600000381469727,3587.9998683929443,0.3611110835163693,1,95.0,1.0,0.3611110835163693,多头排列
28,ETF512400,有色金属ETF,390.4,2025-12-01,1.7599999904632568,2.2799999713897705,2911.9998931884766,0.2954545362182885,1,95.0,1.0,0.2954545362182885,多头排列
29,ETF517520,黄金股ETF,160.9,2025-12-01,1.9900000095367432,2.549999952316284,2799.999713897705,0.28140700507328376,2,50.5,0.5,0.12054018615728104,连续上涨
30,ETF516020,化工ETF,78.7,2025-10-27,0.75,1.0199999809265137,3590.999746322632,0.3599999745686849,2,73.5,0.5,0.15446053226960418,多头排列
