,SYMBOL,IND,NAME,TOTAL VALUE,ERP,SHARPE RATIO,SORTINO RATIO,MAX DD,OPEN DATE,BASE,ADJBASE,PNL,PNL RATIO,AVG TRANS,AVG DAYS,WIN RATE,TOTAL PNL RATIO,STRATEGY,pnl_growth
19,DKNG,博彩<span style='color:#00a859;'><b>↓2</b></span>/8,"DraftKings, Inc.",125.1,-4.1,-0.9375498000243268,-0.9713995482489358,-0.20058777451158527,2026-02-26,23.489999771118164,25.459999084472656,837.2497081756592,0.08386544625584375,2,34.5,1.0,0.08223693044039555,连续上涨,688.4995460510254
20,W,互联网零售/9,"Wayfair, Inc.",100.9,-7.2,-1.9025494089835704,-2.3175526593469367,-0.20821208647699474,2026-03-03,75.4800033569336,78.55000305175781,405.2399597167969,0.04067302011509792,3,29.0,1.0,0.05353479079473415,连续上涨,651.5799942016602
21,EBAY,互联网零售/9,eBay,412.4,0.6,2.3264954034754197,2.3264954034754197,-0.0922496500359885,2026-02-26,87.9000015258789,93.04000091552734,580.8199310302734,0.058475532428007466,4,15.5,0.25,-0.028486111077091814,连续上涨,651.5799942016602
22,CTSH,信息技术服务/10,高知特信息技术有限公司,315.4,2.8,-3.793957766887732,-4.632808257182872,-0.20783601553197406,2026-03-03,64.33999633789062,65.77999877929688,223.20037841796875,0.022381139623382517,2,43.5,1.0,0.1150572540305109,连续上涨,503.1901550292969
23,JKHY,信息技术服务/10,杰克亨利,120.8,0.0,-1.5860018490033794,-2.109719095200853,-0.12025323932369836,2026-02-27,162.4600067138672,167.0500030517578,279.9897766113281,0.02825308474826521,2,55.5,1.0,0.12459617007309837,连续上涨,503.1901550292969
24,FDS,金融证券交易所<span style='color:#00a859;'><b>↓8</b></span>/11,辉盛研究系统,83.6,2.9,0.1533235158743221,0.19509362931285967,-0.09140451183982301,2026-02-24,201.49000549316406,224.9199981689453,1148.0696411132812,0.11628364701482008,4,22.0,0.5,0.010459735844993394,连续上涨,397.39002990722656
25,PYPL,信贷服务<span style='color:#00a859;'><b>↓10</b></span>/12,PayPal,438.7,7.3,4.419299654086346,8.747943010178119,-0.05808627982444492,2026-02-19,41.72999954223633,47.63999938964844,1412.4899635314941,0.14162472830680004,3,10.0,0.3333333333333333,0.00017570847818224955,连续上涨,341.7700729370117
26,CMCSA,电信服务/13,康卡斯特公司,1133.1,12.9,1.8724411822713045,2.847842891103451,-0.0520319781566303,2025-11-11,27.450000762939453,31.600000381469727,1510.5998611450195,0.15118395275723392,1,114.0,1.0,0.15118395275723392,连续上涨,232.9604721069336
27,WM,废物管理<span style='color:#ff4444;'><b>↑3</b></span>/14,美国废物管理公司,989.1,-1.4,5.435433463142165,11.93950411290713,-0.030269513987915553,2026-02-27,240.83999633789062,246.08999633789062,215.25,0.021798704865592267,3,43.333333333333336,0.6666666666666666,0.03926154677435691,多头排列,215.25
28,GLPI,特殊品类REIT<span style='color:#00a859;'><b>↓11</b></span>/15,"Gaming & Leisure Properties, Inc.",139.3,1.8,6.750801464266574,16.534073267628667,-0.011846866254875188,2026-02-10,46.400001525878906,49.36000061035156,636.3998031616211,0.06379308161922713,3,28.666666666666668,0.6666666666666666,0.012793367375054614,连续上涨,96.75016403198242
29,BTSG,健康信息服务<span style='color:#00a859;'><b>↓1</b></span>/16,"BrightSpring Health Services, Inc.",80.0,-1.9,3.2886734788428185,5.46841646252132,-0.05666501198068197,2026-02-20,41.060001373291016,41.77000045776367,172.52977752685547,0.01729174526853526,1,13.0,1.0,0.01729174526853526,连续上涨,82.62003707885742
30,NOK,通信设备<span style='color:#00a859;'><b>↓5</b></span>/17,诺基亚公司,436.4,-2.5,3.991032731893808,7.627900554200713,-0.05040876767090918,2026-02-04,6.800000190734863,7.849999904632568,1543.4995794296265,0.1544117183008834,2,36.5,1.0,0.07721045632775725,多头排列,-201.49999046325684
31,MSI,通信设备<span style='color:#00a859;'><b>↓5</b></span>/17,摩托罗拉系统公司,776.1,-1.4,4.42653142187577,13.479578867417874,-0.03898290975394836,2025-12-05,374.3900146484375,467.1600036621094,2412.0197143554688,0.24778969893410602,1,90.0,1.0,0.24778969893410602,连续上涨,-201.49999046325684
32,LIN,专业化学品<span style='color:#00a859;'><b>↓13</b></span>/18,Linde Plc,2277.9,-1.1,1.7211692144049213,3.1305960929871652,-0.037852905559976335,2025-12-12,416.239990234375,490.05999755859375,1771.68017578125,0.17734962775357657,1,83.0,1.0,0.17734962775357657,连续上涨,-432.479736328125
