symbol
ADBE
APA
AR
BTSG
CF
CMCSA
CTSH
DAVE
DINO
DKNG
DNTH
EBAY
ERAS
EXPE
FDS
FFIV
FIGS
GLPI
INTA
JKHY
KVYO
LIN
MSI
NICE
NOK
PARR
PATH
PYPL
ROIV
SM
UNF
W
WM
