,symbol,buy_date,price,adjbase,size,p&l,p&l_ratio,industry
0,FDS,2026-02-24,201.49000549316406,224.9199981689453,49.0,1148.0696411132812,0.11628364701482008,金融证券交易所
1,NOK,2026-02-04,6.800000190734863,7.849999904632568,1470.0,1543.4995794296265,0.1544117183008834,通信设备
2,MSI,2025-12-05,374.3900146484375,467.1600036621094,26.0,2412.0197143554688,0.24778969893410602,通信设备
3,PATH,2026-03-04,11.069999694824219,11.550000190734863,903.0,433.440447807312,0.043360479597399526,软件
4,KVYO,2026-03-03,18.8700008392334,21.18000030517578,529.0,1221.9897174835205,0.12241650043488962,软件
5,NICE,2026-03-03,123.5,128.1300048828125,80.0,370.400390625,0.03748991807945344,软件
6,INTA,2026-03-02,23.440000534057617,28.280000686645508,426.0,2061.8400650024414,0.20648464344339565,软件
7,ADBE,2026-03-02,260.8800048828125,281.739990234375,38.0,792.679443359375,0.07996007728124975,软件
8,FFIV,2026-03-02,278.0,283.6400146484375,35.0,197.4005126953125,0.020287822476393883,软件
9,DAVE,2026-02-26,192.3300018310547,218.2100067138672,51.0,1319.8802490234375,0.13456041510125835,软件
10,DINO,2026-03-02,53.810001373291016,57.16999816894531,185.0,621.5994071960449,0.06244186414985032,石油天然气炼制销售
11,PARR,2026-02-03,39.25,49.970001220703125,254.0,2722.8803100585938,0.2731210502089968,石油天然气炼制销售
12,SM,2026-01-22,18.75,25.579999923706055,533.0,3640.389959335327,0.3642666625976563,石油天然气勘探生产
13,AR,2026-01-21,34.2400016784668,38.90999984741211,292.0,1363.6394653320312,0.13639012675289175,石油天然气勘探生产
14,APA,2026-01-08,25.3700008392334,32.380001068115234,394.0,2761.9400901794434,0.27631060295596177,石油天然气勘探生产
15,CMCSA,2025-11-11,27.450000762939453,31.600000381469727,364.0,1510.5998611450195,0.15118395275723392,电信服务
16,ROIV,2026-02-06,25.81999969482422,29.719999313354492,387.0,1509.2998523712158,0.1510456880180387,生物技术
17,DNTH,2026-01-13,44.86000061035156,61.43000030517578,222.0,3678.5399322509766,0.3693713657908566,生物技术
18,ERAS,2025-11-12,2.6500000953674316,15.539999961853027,3773.0,48633.96949625015,4.864150717963787,生物技术
19,GLPI,2026-02-10,46.400001525878906,49.36000061035156,215.0,636.3998031616211,0.06379308161922713,特殊品类REIT
20,FIGS,2026-02-19,11.109999656677246,16.969999313354492,900.0,5273.9996910095215,0.5274527306718065,服装制造
21,EXPE,2026-03-02,213.24000549316406,251.5399932861328,46.0,1761.7994384765625,0.17960976742798176,旅行服务
22,WM,2026-02-27,240.83999633789062,246.08999633789062,41.0,215.25,0.021798704865592267,废物管理
23,DKNG,2026-02-26,23.489999771118164,25.459999084472656,425.0,837.2497081756592,0.08386544625584375,博彩
24,CF,2025-12-23,78.13999938964844,110.77999877929688,127.0,4145.279922485352,0.41771179478627446,农业投入
25,BTSG,2026-02-20,41.060001373291016,41.77000045776367,243.0,172.52977752685547,0.01729174526853526,健康信息服务
26,PYPL,2026-02-19,41.72999954223633,47.63999938964844,239.0,1412.4899635314941,0.14162472830680004,信贷服务
27,CTSH,2026-03-03,64.33999633789062,65.77999877929688,155.0,223.20037841796875,0.022381139623382517,信息技术服务
28,JKHY,2026-02-27,162.4600067138672,167.0500030517578,61.0,279.9897766113281,0.02825308474826521,信息技术服务
29,W,2026-03-03,75.4800033569336,78.55000305175781,132.0,405.2399597167969,0.04067302011509792,互联网零售
30,EBAY,2026-02-26,87.9000015258789,93.04000091552734,113.0,580.8199310302734,0.058475532428007466,互联网零售
31,UNF,2026-02-11,235.0800018310547,262.760009765625,42.0,1162.5603332519531,0.11774718274191247,专业商业服务
32,LIN,2025-12-12,416.239990234375,490.05999755859375,24.0,1771.68017578125,0.17734962775357657,专业化学品
