0,CBZ,2024-01-31,65.5999984741211,63.65999984741211,-294.8797912597656,251572.0,1.7843241270546368,2.0897107271142303,-0.02957315048527498
0,CBZ,2024-02-01,65.5999984741211,64.69000244140625,-138.31939697265625,200104.0,4.13281414932927,4.686668138047252,-0.02957315048527487
0,CBZ,2024-02-02,65.5999984741211,64.11000061035156,-226.47967529296875,124125.0,3.1977702848260647,3.968824582281905,-0.02957315048527487
0,CBZ,2024-02-05,65.5999984741211,63.95000076293945,-250.79965209960938,157429.0,3.4501401624228287,4.201875999317092,-0.029573150485274757
0,SLNO,2024-02-06,49.5,45.52000045776367,-803.9599075317383,544066.0,2.5437993542267376,3.7453661583179527,-0.08040403115628936
1,CBZ,2024-02-06,65.5999984741211,65.23999786376953,-54.7200927734375,308358.0,3.834433387725117,4.872881247657561,-0.02957315048527487
0,AMPX,2024-02-07,4.550000190734863,4.409999847412109,-307.58075428009033,539184.0,-0.19173430053052962,-0.483091712334699,-0.18999996185302725
1,RDW,2024-02-07,3.0399999618530273,2.9600000381469727,-263.11974906921387,342133.0,-0.32940915699671736,-0.5986577694653158,-0.1229773095720278
2,SLNO,2024-02-07,49.5,46.58000183105469,-589.8396301269531,174914.0,2.4320876016185866,3.5652857003658736,-0.08040403115628936
3,CBZ,2024-02-07,65.5999984741211,65.13999938964844,-69.91986083984375,240065.0,3.7941401920242273,4.845076369385802,-0.029573150485274757
0,AMPX,2024-02-08,4.550000190734863,4.300000190734863,-549.25,318724.0,-0.03157800181815887,-0.07881192558607579,-0.1899999618530276
1,RDW,2024-02-08,3.0399999618530273,3.0299999713897705,-32.88996863365173,334168.0,-0.3179388048356837,-0.5781406342585499,-0.06872853669577261
2,SLNO,2024-02-08,49.5,47.47999954223633,-408.0400924682617,137397.0,2.9629180848971797,4.185574854745087,-0.08040403115628958
3,CBZ,2024-02-08,65.5999984741211,65.12999725341797,-71.440185546875,334541.0,2.9348310288903745,3.798134096228757,-0.02957315048527487
