,symbol,buy_date,price,adjbase,size,p&l,p&l_ratio,industry
0,SH603288,2026-03-06,37.02000045776367,37.02000045776367,200.0,0.0,0.0,食品饮料
1,SZ000895,2026-01-29,25.950000762939453,27.229999542236328,300.0,383.9996337890625,0.049325577713466115,食品饮料
2,SH603063,2026-03-06,31.899999618530273,31.899999618530273,300.0,0.0,0.0,风电设备
3,SZ300850,2026-02-26,48.779998779296875,47.220001220703125,200.0,-311.99951171875,-0.03198027055416495,风电设备
4,SH688186,2026-02-25,23.0,28.25,400.0,2100.0,0.22826086956521738,风电设备
5,SZ002202,2026-02-25,27.260000228881836,28.469999313354492,300.0,362.9997253417969,0.04438734681999996,风电设备
6,SH600516,2026-02-25,5.960000038146973,6.730000019073486,1600.0,1231.9999694824219,0.1291946268453238,非金属材料
7,SH688300,2026-02-24,64.12000274658203,75.0,100.0,1087.9997253417969,0.16968179643438858,非金属材料
8,SH603260,2026-02-24,50.099998474121094,48.7599983215332,100.0,-134.00001525878906,-0.026746510846303938,非金属材料
9,SZ300395,2026-02-11,99.0,110.29000091552734,100.0,1129.0000915527344,0.114040413288155,非金属材料
10,SH600172,2026-01-08,6.510000228881836,9.5600004196167,1500.0,4575.000286102295,0.4685099974656582,非金属材料
11,SZ301071,2025-12-26,36.38999938964844,47.09000015258789,200.0,2140.0001525878906,0.2940368492004755,非金属材料
12,SH603688,2025-12-09,37.209999084472656,53.59000015258789,200.0,3276.000213623047,0.44020428570637715,非金属材料
13,SH601328,2026-03-06,6.769999980926514,6.769999980926514,1400.0,0.0,0.0,银行
14,SH601939,2026-03-05,8.9399995803833,8.970000267028809,1100.0,33.000755310058594,0.0033557816614820848,银行
15,SH601288,2026-03-03,6.730000019073486,6.699999809265137,1400.0,-42.00029373168945,-0.004457683465575935,银行
16,SH601988,2026-03-03,5.420000076293945,5.389999866485596,1800.0,-54.0003776550293,-0.005535093982667058,银行
17,SH601916,2026-02-05,2.9700000286102295,3.0199999809265137,3300.0,164.9998426437378,0.016835000617720856,银行
18,SH600015,2026-02-04,6.480000019073486,6.860000133514404,1500.0,570.000171661377,0.05864199279666832,银行
19,SH600036,2026-02-04,39.0099983215332,39.20000076293945,200.0,38.00048828125,0.004870608807521281,银行
20,SH601009,2026-02-02,10.619999885559082,11.220000267028809,900.0,540.0003433227539,0.0564972116699924,银行
21,SH600919,2026-01-29,10.130000114440918,10.550000190734863,900.0,378.0000686645508,0.04146101397325852,银行
22,SH601077,2026-01-29,6.46999979019165,6.659999847412109,1500.0,285.0000858306885,0.02936631582407376,银行
23,SH601838,2026-01-28,15.779999732971191,16.940000534057617,600.0,696.0004806518555,0.07351082514042673,银行
24,SH600926,2026-01-26,15.579999923706055,16.549999237060547,600.0,581.9995880126953,0.06225926303623216,银行
25,SZ002142,2026-01-13,29.260000228881836,31.700000762939453,300.0,732.0001602172852,0.08339031151644188,银行
26,SH600019,2026-02-27,7.199999809265137,7.099999904632568,1300.0,-129.99987602233887,-0.013888876011341837,钢铁行业
27,SH600399,2026-02-25,6.840000152587891,7.400000095367432,1400.0,783.9999198913574,0.08187133483727584,钢铁行业
28,SZ000708,2026-02-24,15.90999984741211,17.649999618530273,600.0,1043.9998626708984,0.10936516579547229,钢铁行业
29,SZ002756,2026-02-13,51.709999084472656,68.87999725341797,100.0,1716.9998168945312,0.33204406252060975,钢铁行业
30,SH600010,2026-02-09,2.5299999713897705,3.059999942779541,3900.0,2066.999888420105,0.20948615706846543,钢铁行业
