,symbol,buy_date,price,adjbase,size,p&l,p&l_ratio,industry
0,SZ000895,2026-01-29,25.950000762939453,27.229999542236328,300.0,383.9996337890625,0.049325577713466115,食品饮料
1,SZ002202,2026-02-25,27.260000228881836,28.469999313354492,300.0,362.9997253417969,0.04438734681999996,风电设备
2,SH600015,2026-02-04,6.480000019073486,6.860000133514404,1500.0,570.000171661377,0.05864199279666832,银行
3,SH600919,2026-01-29,10.130000114440918,10.550000190734863,900.0,378.0000686645508,0.04146101397325852,银行
4,SH601077,2026-01-29,6.46999979019165,6.659999847412109,1500.0,285.0000858306885,0.02936631582407376,银行
5,SH600522,2025-12-01,16.81999969482422,27.3799991607666,500.0,5279.999732971191,0.6278239986646291,通信设备
6,SH688226,2026-02-25,39.25,45.91999816894531,200.0,1333.9996337890625,0.16993625908140925,输配电气
7,SZ300001,2026-02-24,28.649999618530273,33.130001068115234,300.0,1344.0004348754883,0.15637003522636633,输配电气
8,SH603861,2025-12-12,11.850000381469727,20.5,800.0,6919.999694824219,0.7299577502171721,输配电气
9,SZ000400,2025-12-11,25.690000534057617,33.630001068115234,300.0,2382.000160217285,0.30906969128052136,输配电气
10,SH603530,2025-12-05,42.540000915527344,71.19999694824219,200.0,5731.999206542969,0.6737187450847887,输配电气
11,SZ002452,2025-12-05,8.050000190734863,12.079999923706055,1200.0,4835.99967956543,0.5006210729795403,输配电气
12,SH600312,2025-12-05,16.969999313354492,25.020000457763672,500.0,4025.00057220459,0.4743666158002879,输配电气
13,SH600406,2025-12-05,22.700000762939453,30.010000228881836,400.0,2923.999786376953,0.32202639736809424,输配电气
14,SZ002383,2026-03-02,12.130000114440918,12.520000457763672,800.0,312.0002746582031,0.03215171802500262,计算机设备
15,SZ001216,2026-02-26,18.780000686645508,20.989999771118164,500.0,1104.9995422363281,0.11767832820390632,装修建材
16,SH603268,2026-02-06,85.58999633789062,125.69999694824219,100.0,4011.0000610351562,0.4686295399757471,船舶制造
17,SZ300008,2026-02-03,8.829999923706055,9.1899995803833,1100.0,395.9996223449707,0.040770063396121756,船舶制造
18,SZ300658,2025-11-03,9.069999694824219,30.260000228881836,1100.0,23309.00058746338,2.336273566376155,美容护理
19,SH601857,2025-12-23,9.890000343322754,12.300000190734863,1000.0,2409.9998474121094,0.24368046145106798,石油行业
20,SH600028,2025-10-14,5.420000076293945,6.880000114440918,1800.0,2628.000068664551,0.2693726969733334,石油行业
21,SH600885,2026-02-24,30.93000030517578,33.029998779296875,300.0,629.9995422363281,0.06789519732948994,电网设备
22,SZ002121,2026-02-24,9.289999961853027,9.600000381469727,1000.0,310.0004196166992,0.033369259514492516,电网设备
23,SZ002270,2025-12-05,25.399999618530273,36.88999938964844,300.0,3446.999931335449,0.4523622025071122,电网设备
24,SZ300693,2026-02-12,39.779998779296875,46.209999084472656,200.0,1286.0000610351562,0.16163902721189158,电源设备
25,SH600875,2025-12-05,21.579999923706055,44.220001220703125,400.0,9056.000518798828,1.0491196189545202,电源设备
26,SH600131,2026-01-05,16.450000762939453,21.559999465942383,600.0,3065.999221801758,0.31063820462035185,电子信息
27,SZ002380,2025-12-22,27.290000915527344,38.220001220703125,300.0,3279.0000915527344,0.40051300617424596,电子信息
28,SZ001289,2026-02-24,15.90999984741211,17.700000762939453,600.0,1074.0005493164062,0.11250791531707663,电力行业
29,SH600023,2026-02-24,5.050000190734863,5.480000019073486,1900.0,816.9996738433838,0.0851484776431366,电力行业
30,SZ000993,2026-02-12,12.569999694824219,14.460000038146973,700.0,1323.0002403259277,0.15035802619000652,电力行业
31,SZ000534,2026-01-12,23.209999084472656,41.2400016784668,400.0,7212.001037597656,0.7768204784659427,生物制品
32,SZ000035,2026-02-24,6.190000057220459,7.820000171661377,1600.0,2608.0001831054688,0.26332796435753975,环保工程
33,SH603588,2025-12-19,7.210000038146973,13.399999618530273,1300.0,8046.999454498291,0.858529756953258,环保工程
34,SZ002128,2026-02-11,29.56999969482422,33.27000045776367,300.0,1110.000228881836,0.1251268448131598,煤炭采选
35,SH601898,2026-02-04,14.079999923706055,17.329999923706055,700.0,2275.0,0.23082386488710677,煤炭采选
36,SH600188,2025-12-24,13.470000267028809,19.280000686645508,700.0,4067.0002937316895,0.4313289015916449,煤炭采选
37,SZ300816,2026-02-27,64.9800033569336,69.12000274658203,100.0,413.99993896484375,0.06371189867300438,汽车零部件
38,SH603269,2026-02-09,12.880000114440918,16.940000534057617,700.0,2842.0002937316895,0.3152174210825255,机械行业
39,SZ000425,2026-02-04,11.65999984741211,12.289999961853027,800.0,504.0000915527344,0.05403088530749372,工程机械
40,SZ000157,2026-02-03,9.350000381469727,9.850000381469727,1000.0,500.0,0.05347593364711767,工程机械
41,SH600039,2026-03-02,10.149999618530273,10.579999923706055,900.0,387.0002746582031,0.042364563678480766,工程建设
42,SH603257,2026-02-24,59.95000076293945,69.86000061035156,100.0,990.9999847412109,0.16530441570133192,工程咨询服务
43,SH605366,2025-12-25,6.369999885559082,10.920000076293945,1500.0,6825.000286102295,0.7142857570609703,化工行业
44,SZ300763,2026-02-27,84.19000244140625,88.91000366210938,100.0,472.0001220703125,0.05606367839207638,光伏设备
45,SH605117,2026-02-03,88.4000015258789,115.94000244140625,100.0,2754.0000915527344,0.3115384665176173,光伏设备
46,SZ301638,2026-02-13,21.709999084472656,28.3799991607666,400.0,2668.000030517578,0.30723170693565055,互联网服务
