,SYMBOL,OPEN DATE,CLOSE DATE,BASE,ADJBASE,PNL,PNL RATIO,IND,NAME,AVG TRANS,AVG DAYS,WIN RATE,TOTAL PNL RATIO,Strategy,pnl_growth
21,SH603358,2024-08-02,2024-08-21,30.079999923706055,27.399999618530273,-804.0000915527344,-0.08909575505230212,汽车行业 <span style='color:red;'>↑9</span>(24),华达科技,1,19.0,0.0,-0.08909575505230212,收盘价跌破短期均线,-184.99984741210938
22,SH688271,2024-08-02,2024-08-16,113.30000305175781,111.0,-230.00030517578125,-0.020300114649662658,医疗器械 <span style='color:red;'>↑5</span>(25),联影医疗,1,14.0,0.0,-0.020300114649662658,收盘价跌破短期抵扣价,-254.99954223632812
23,SH600521,2024-08-06,2024-08-21,17.81999969482422,17.18000030517578,-319.99969482421875,-0.035914668945495214,医药制造 <span style='color:green;'>↓6</span>(28),华海药业,1,15.0,0.0,-0.035914668945495214,收盘价跌破短期均线,-495.9996223449707
24,SH600196,2024-08-12,2024-08-21,23.8700008392334,22.770000457763672,-440.0001525878906,-0.046082963669684306,医药制造 <span style='color:green;'>↓6</span>(28),复星医药,1,9.0,0.0,-0.046082963669684306,收盘价跌破短期抵扣价,-495.9996223449707
25,SZ000513,2024-08-06,2024-08-20,36.599998474121094,36.61000061035156,2.00042724609375,0.0002732824220618752,医药制造 <span style='color:green;'>↓6</span>(28),丽珠集团,1,14.0,1.0,0.0002732824220618752,收盘价跌破短期均线,-495.9996223449707
26,SZ002603,2024-07-31,2024-08-21,15.819999694824219,15.699999809265137,-71.99993133544922,-0.007585327931348951,中药 <span style='color:red;'>↑4</span>(33),以岭药业,1,21.0,0.0,-0.007585327931348951,收盘价跌破短期均线,-627.0000457763672
27,SH688599,2024-07-31,2024-08-19,17.440000534057617,16.600000381469727,-420.0000762939453,-0.04816514488904404,光伏设备 <span style='color:green;'>↓2</span>(37),天合光能,1,19.0,0.0,-0.04816514488904404,收盘价跌破短期均线,-1027.9999732971191
28,SH603806,2024-08-06,2024-08-16,16.100000381469727,15.0600004196167,-623.9999771118164,-0.06459626939201901,光伏设备 <span style='color:green;'>↓2</span>(37),福斯特,1,10.0,0.0,-0.06459626939201901,收盘价跌破短期均线,-1027.9999732971191
29,SH600732,2024-07-31,2024-08-16,9.430000305175781,8.489999771118164,-940.0005340576172,-0.09968191979184618,光伏设备 <span style='color:green;'>↓2</span>(37),爱旭股份,1,16.0,0.0,-0.09968191979184618,收盘价跌破短期抵扣价,-1027.9999732971191
30,SZ002602,2024-08-19,2024-08-21,3.240000009536743,3.1600000858306885,-239.99977111816406,-0.02469133440449993,游戏 <span style='color:red;'>↑2</span>(38),世纪华通,1,2.0,0.0,-0.02469133440449993,收盘价跌破短期均线,-1313.9997482299805
31,SZ002555,2024-07-31,2024-08-20,13.210000038146973,12.869999885559082,-238.00010681152344,-0.02573808869084485,游戏 <span style='color:red;'>↑2</span>(38),三七互娱,1,20.0,0.0,-0.02573808869084485,收盘价跌破短期均线,-1313.9997482299805
32,SZ002624,2024-07-31,2024-08-20,7.840000152587891,7.619999885559082,-264.0003204345703,-0.02806125800344393,游戏 <span style='color:red;'>↑2</span>(38),完美世界,1,20.0,0.0,-0.02806125800344393,收盘价跌破短期均线,-1313.9997482299805
33,SZ300458,2024-05-31,2024-08-21,20.75,22.40999984741211,663.9999389648438,0.07999999264636672,半导体 <span style='color:green;'>↓1</span>(39),全志科技,1,82.0,1.0,0.07999999264636672,收盘价跌破短期均线,-1719.000244140625
34,SH688012,2024-07-15,2024-08-19,143.44000244140625,145.9499969482422,250.99945068359375,0.017498567095055956,半导体 <span style='color:green;'>↓1</span>(39),中微公司,1,35.0,1.0,0.017498567095055956,收盘价跌破短期抵扣价,-1719.000244140625
35,SH688361,2024-07-31,2024-08-19,53.08000183105469,52.310001373291016,-77.00004577636719,-0.014506413549390267,半导体 <span style='color:green;'>↓1</span>(39),中科飞测,1,19.0,0.0,-0.014506413549390267,收盘价跌破短期均线,-1719.000244140625
36,SH688047,2024-08-15,2024-08-19,97.8499984741211,95.29000091552734,-255.999755859375,-0.026162469070153394,半导体 <span style='color:green;'>↓1</span>(39),龙芯中科,1,4.0,0.0,-0.026162469070153394,收盘价跌破短期均线,-1719.000244140625
37,SH600460,2024-07-26,2024-08-16,20.350000381469727,19.579999923706055,-308.00018310546875,-0.0378378596230798,半导体 <span style='color:green;'>↓1</span>(39),士兰微,1,21.0,0.0,-0.0378378596230798,收盘价跌破短期抵扣价,-1719.000244140625
38,SH601788,2024-07-26,2024-08-20,14.5,14.600000381469727,60.00022888183594,0.006896578032394935,券商信托 <span style='color:green;'>↓1</span>(40),光大证券,1,25.0,1.0,0.006896578032394935,收盘价跌破短期均线,-2521.9985485076904
39,SH601881,2024-07-31,2024-08-20,10.890000343322754,10.430000305175781,-414.0000343322754,-0.042240589866374384,券商信托 <span style='color:green;'>↓1</span>(40),中国银河,1,20.0,0.0,-0.042240589866374384,收盘价跌破短期均线,-2521.9985485076904
