,industry,cnt
0,生物科技,25
1,应用软件,24
2,制药,21
3,互联网服务与基础设施,20
4,综合性银行,16
5,医疗保健设备,15
6,航天航空与国防,15
7,电力公用事业,15
8,数据处理与外包服务,14
9,区域性银行,13
