,industry,pl
0,综合电信业务,90865.98
1,生物科技,78715.02
2,应用软件,49118.31
3,医疗保健设备,39920.4
4,航天航空与国防,30312.7
5,互联网服务与基础设施,28028.09
6,电力公用事业,27375.33
7,贸易公司与经销商,27005.29
8,餐馆,24456.46
9,特种房地产投资信托,24296.54
