,symbol,open_alias,close,high,low,change,chg,volume,mktcap
1538,sdgr,50.0000,50.9500,52.2700,49.6900,1.49,0.7500,369669,3604115416
1539,ijt,131.4300,130.6900,132.4273,130.6900,-0.68,-0.8900,50697,3603835691
1540,cim,15.2500,15.2600,15.3700,15.2150,0.20,0.0300,815012,3600685263
1541,nad,15.4800,15.4000,15.5200,15.4000,-0.32,-0.0500,258342,3594431995
1542,matx,82.5100,82.6700,84.1200,82.3200,0.65,0.5300,135610,3592829933
1543,reta,98.9700,98.6700,100.7900,97.7700,-0.32,-0.3200,112867,3590344955
1544,geni,18.1900,17.3300,18.2250,17.3050,-3.83,-0.6900,779055,3585227523
1545,aso,40.3600,40.2800,41.3700,40.0900,-0.98,-0.4000,1377729,3584775999
1546,njr,37.0300,37.1400,37.3150,36.9999,0.38,0.1400,258412,3581555083
1547,peco,31.3100,31.6100,31.7800,31.1300,1.38,0.4300,332405,3581413000
1548,trtn,52.9800,52.9800,53.9100,52.9700,0.00,0.0000,243502,3570511974
1549,rcii,54.4100,53.7100,55.4000,53.6100,-1.47,-0.8000,480314,3569656993
1550,atco,14.4700,14.4300,14.6600,14.4300,0.07,0.0100,312982,3567787629
1551,coop,41.8900,41.4100,42.1400,41.2700,0.41,0.1700,651465,3567412159
1552,onto,71.2500,72.3200,73.0400,71.2500,0.63,0.4500,95652,3563044258
1553,blkb,73.3400,72.8500,74.4100,72.6100,-0.84,-0.6200,103447,3561134927
1554,aaon,68.9100,67.9200,69.5700,67.9100,-1.55,-1.0700,82683,3559261545
1555,fti,8.1300,7.8900,8.2250,7.8800,-3.07,-0.2500,4580221,3556026787
1556,bigc,50.0500,49.9900,51.5500,49.9400,-1.36,-0.6900,412039,3554792399
1557,aimc,56.1600,54.5600,56.2500,54.4000,-2.26,-1.2600,170353,3539150994
1558,ulcc,16.6200,16.4200,16.7000,16.3600,-1.08,-0.1800,176410,3537639345
1559,cwh,40.5600,40.3900,41.4200,40.3400,0.27,0.1100,428423,3536932105
1560,dan,24.4900,24.3400,24.8600,24.2300,-0.73,-0.1800,691066,3534869405
1561,mntv,23.3900,23.9500,24.0200,23.1850,1.05,0.2500,1067054,3532937331
1562,calx,55.4400,55.6100,56.3158,55.1017,-0.68,-0.3800,334767,3531022013
1563,ccmp,120.2700,120.8200,122.7600,120.2700,-0.11,-0.1300,85191,3530644931
1564,tigo,35.2400,35.0400,35.3100,34.9500,-0.40,-0.1400,24110,3529999855
1565,psn,34.9200,34.4100,35.2500,34.4100,-1.12,-0.3900,227244,3527121003
1566,vlypp,28.5600,28.3800,28.8566,28.2100,0.11,0.0300,2925,3522525685
1567,trup,84.5500,87.4800,88.5800,84.2300,2.85,2.4200,248581,3519754650
1568,pch,52.0000,52.3600,52.6200,52.0000,0.85,0.4400,589518,3510492745
1569,sky,61.1100,61.7500,62.3400,60.7900,1.21,0.7400,139308,3504770499
1570,sitc,16.4800,16.5700,16.6300,16.3600,0.55,0.0900,597369,3496936959
1571,ewc,37.8300,37.6100,38.0500,37.6100,-0.27,-0.1000,2901596,3493651195
1572,fcfs,86.5800,86.2900,87.4700,86.1600,-0.03,-0.0300,125353,3490600146
1573,ajrd,43.5000,43.4100,43.7009,43.3900,-0.21,-0.0900,153873,3485534323
1574,lcii,137.2400,137.6800,138.5150,136.8250,0.35,0.4800,52326,3479427481
1575,golf,48.0100,46.9600,48.5600,46.9000,-2.39,-1.1500,105103,3470611014
1576,zntl,76.7100,77.0000,77.7812,75.4700,0.69,0.5300,275613,3469073608
1577,aciw,30.0200,29.5200,30.3200,29.4800,-2.09,-0.6300,609436,3468140196
1578,erj,18.1400,18.8100,19.1100,18.0400,4.38,0.7900,2551708,3461713002
1579,shyg,45.4200,45.3300,45.4300,45.3200,-0.20,-0.0900,332376,3461012044
1580,algt,191.3100,191.7100,193.7700,190.9500,-0.18,-0.3400,86922,3459391613
1581,krtx,119.3900,117.0600,120.7900,116.5200,-1.76,-2.1000,85313,3459269090
1582,clov,7.8900,8.0600,8.2800,7.8900,2.68,0.2100,17759183,3448350132
1583,be,19.3400,19.8500,20.5500,19.2600,3.66,0.7000,3318399,3445687519
1584,rog,184.7500,183.6000,186.4369,182.5500,-1.03,-1.9100,31957,3438670471
